Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,-2.268078,-1.338792,808.928580,44.044685,-25.851214,-0.340091,0.031957,0.054448
1.000000,0.001000,-2.268098,-1.339205,808.928437,43.905646,-25.948408,-0.339832,0.032078,0.054276
2.000000,0.002000,-2.268078,-1.338792,808.928580,44.044685,-25.851214,-0.340091,0.031957,0.054448
3.000000,0.003000,-2.268393,-1.339307,808.564227,43.975035,-25.900247,-0.339882,0.032032,0.054387
4.000000,0.004000,-2.267981,-1.338530,809.654806,44.044544,-25.947344,-0.339775,0.032047,0.054399
5.000000,0.005000,-2.054701,-1.334234,809.658762,44.044883,-25.931054,-0.379723,0.032027,0.054399
6.000000,0.006000,-2.054701,-1.334234,809.658762,44.044883,-25.931054,-0.379723,0.032027,0.054399
7.000000,0.007000,-2.050897,-1.548237,809.294038,43.990550,-25.883414,-0.409505,0.031983,0.054357
8.000000,0.008000,-2.061061,-1.121411,810.018433,43.959231,-25.882977,-0.409154,0.031954,0.054269
9.000000,0.009000,-2.061061,-1.121411,810.018433,43.959231,-25.882977,-0.409154,0.031954,0.054269
10.000000,0.010000,-1.847780,-1.117115,810.022388,43.959570,-25.866687,-0.449102,0.031933,0.054270
11.000000,0.011000,-2.057454,-1.335254,810.015724,43.974147,-25.883305,-0.438670,0.031954,0.054288
12.000000,0.012000,-2.061061,-1.121411,810.018433,43.959231,-25.882977,-0.409154,0.031954,0.054269
13.000000,0.013000,-1.847780,-1.117115,810.022388,43.959570,-25.866687,-0.449102,0.031933,0.054270
14.000000,0.014000,-1.847978,-1.116955,810.384404,44.028819,-25.914657,-0.448836,0.031978,0.054331
15.000000,0.015000,-1.847486,-1.117014,810.386599,43.890181,-25.914848,-0.449053,0.031978,0.054160
16.000000,0.016000,-1.847780,-1.117115,810.022388,43.959570,-25.866687,-0.449102,0.031933,0.054270
17.000000,0.017000,-1.847486,-1.117014,810.386599,43.890181,-25.914848,-0.449053,0.031978,0.054160
18.000000,0.018000,-1.847486,-1.117014,810.386599,43.890181,-25.914848,-0.449053,0.031978,0.054160
19.000000,0.019000,-1.633891,-1.112203,810.754907,43.960169,-25.849525,-0.489210,0.031883,0.054221
20.000000,0.020000,-1.634089,-1.112043,811.116923,44.029418,-25.897494,-0.488944,0.031928,0.054282
