Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,-1.062841,-2.268764,808.451459,35.360249,43.614880,0.122790,-0.053949,0.043738
1.000000,0.001000,-1.276390,-2.273470,808.454035,35.361303,43.599745,0.082660,-0.053930,0.043739
2.000000,0.002000,-1.062841,-2.268764,808.451459,35.360249,43.614880,0.122790,-0.053949,0.043738
3.000000,0.003000,-1.276121,-2.273060,808.447503,35.359910,43.598591,0.162739,-0.053929,0.043738
4.000000,0.004000,-1.276121,-2.273060,808.447503,35.359910,43.598591,0.162739,-0.053929,0.043738
5.000000,0.005000,-1.276121,-2.273060,808.447503,35.359910,43.598591,0.162739,-0.053929,0.043738
6.000000,0.006000,-1.276121,-2.273060,808.447503,35.359910,43.598591,0.162739,-0.053929,0.043738
7.000000,0.007000,-1.270433,-2.487015,808.089635,35.307462,43.647621,0.192104,-0.054013,0.043693
8.000000,0.008000,-1.276989,-2.274033,808.811321,35.291059,43.647729,0.162940,-0.053965,0.043633
9.000000,0.009000,-1.276989,-2.274033,808.811321,35.291059,43.647729,0.162940,-0.053965,0.043633
10.000000,0.010000,-1.271301,-2.487988,808.453453,35.238612,43.696759,0.192305,-0.054050,0.043588
11.000000,0.011000,-1.270433,-2.487015,808.089635,35.307462,43.647621,0.192104,-0.054013,0.043693
12.000000,0.012000,-1.275924,-2.273220,808.085487,35.290661,43.646560,0.162472,-0.054012,0.043672
13.000000,0.013000,-1.489787,-2.278441,807.723710,35.222066,43.582392,0.122551,-0.053957,0.043607
14.000000,0.014000,-1.484027,-2.491826,807.721326,35.237474,43.582298,0.232262,-0.053957,0.043626
15.000000,0.015000,-1.277107,-2.274708,808.084952,35.152161,43.646665,0.162883,-0.054012,0.043501
16.000000,0.016000,-1.697576,-2.496532,807.723902,35.238528,43.567163,0.192131,-0.053938,0.043627
17.000000,0.017000,-1.276238,-2.273735,807.721134,35.221011,43.597526,0.162681,-0.053976,0.043605
18.000000,0.018000,-1.484027,-2.491826,807.721326,35.237474,43.582298,0.232262,-0.053957,0.043626
19.000000,0.019000,-1.484027,-2.491826,807.721326,35.237474,43.582298,0.232262,-0.053957,0.043626
20.000000,0.020000,-1.270747,-2.487530,807.725282,35.237813,43.598587,0.192313,-0.053977,0.043626
21.000000,0.021000,-1.276238,-2.273735,807.721134,35.221011,43.597526,0.162681,-0.053976,0.043605
22.000000,0.022000,-1.270747,-2.487530,807.725282,35.237813,43.598587,0.192313,-0.053977,0.043626
23.000000,0.023000,-1.276238,-2.273735,807.721134,35.221011,43.597526,0.162681,-0.053976,0.043605
24.000000,0.024000,-1.703382,-2.283252,807.355401,35.152078,43.517069,0.162709,-0.053901,0.043540
25.000000,0.025000,-1.703067,-2.282737,807.719754,35.221727,43.566102,0.162500,-0.053937,0.043606
26.000000,0.026000,-1.489833,-2.278547,807.352826,35.151023,43.532204,0.202839,-0.053920,0.043539
27.000000,0.027000,-1.489833,-2.278547,807.352826,35.151023,43.532204,0.202839,-0.053920,0.043539
28.000000,0.028000,-1.276553,-2.274250,807.356781,35.151362,43.548493,0.162891,-0.053940,0.043539
29.000000,0.029000,-1.703185,-2.283412,806.993385,35.082829,43.565038,0.162442,-0.053984,0.043474
30.000000,0.030000,-1.489636,-2.278707,806.990810,35.081774,43.580173,0.202572,-0.054003,0.043472
31.000000,0.031000,-1.702316,-2.282440,806.629567,35.151679,43.515899,0.162241,-0.053948,0.043578
32.000000,0.032000,-1.703185,-2.283412,806.993385,35.082829,43.565038,0.162442,-0.053984,0.043474
33.000000,0.033000,-1.697379,-2.496692,807.361886,35.169279,43.615132,0.191865,-0.054022,0.043561
34.000000,0.034000,-1.703185,-2.283412,806.993385,35.082829,43.565038,0.162442,-0.053984,0.043474
35.000000,0.035000,-1.705923,-2.068597,806.632276,35.136763,43.516228,0.191757,-0.053948,0.043560
36.000000,0.036000,-1.702316,-2.282440,806.629567,35.151679,43.515899,0.162241,-0.053948,0.043578
37.000000,0.037000,-1.703185,-2.283412,806.993385,35.082829,43.565038,0.162442,-0.053984,0.043474
38.000000,0.038000,-1.702316,-2.282440,806.629567,35.151679,43.515899,0.162241,-0.053948,0.043578
39.000000,0.039000,-1.711414,-1.854802,806.628129,35.119962,43.515167,0.162125,-0.053947,0.043539
40.000000,0.040000,-1.711414,-1.854802,806.628129,35.119962,43.515167,0.162125,-0.053947,0.043539
41.000000,0.041000,-1.712283,-1.855774,806.991947,35.051111,43.564305,0.162326,-0.053984,0.043434
42.000000,0.042000,-1.705923,-2.068597,806.632276,35.136763,43.516228,0.191757,-0.053948,0.043560
43.000000,0.043000,-1.711414,-1.854802,806.628129,35.119962,43.515167,0.162125,-0.053947,0.043539
44.000000,0.044000,-1.711434,-1.855216,806.627986,34.980923,43.417973,0.162383,-0.053827,0.043367
45.000000,0.045000,-1.711414,-1.854802,806.628129,35.119962,43.515167,0.162125,-0.053947,0.043539
46.000000,0.046000,-1.711729,-1.855317,806.263776,35.050312,43.466133,0.162334,-0.053911,0.043473
47.000000,0.047000,-1.498134,-1.850506,806.632084,35.120301,43.531456,0.122176,-0.053967,0.043539
48.000000,0.048000,-1.710546,-1.853829,806.264311,35.188812,43.466028,0.161923,-0.053910,0.043644
49.000000,0.049000,-1.711414,-1.854802,806.628129,35.119962,43.515167,0.162125,-0.053947,0.043539
50.000000,0.050000,-1.497266,-1.849533,806.268266,35.189151,43.482318,0.121975,-0.053930,0.043644
51.000000,0.051000,-1.497840,-1.850404,806.996294,35.050911,43.483296,0.122226,-0.053883,0.043434
52.000000,0.052000,-1.710861,-1.854345,805.899958,35.119163,43.416995,0.162133,-0.053874,0.043578
53.000000,0.053000,-1.710251,-1.853728,806.628521,35.119423,43.417868,0.161973,-0.053826,0.043539
54.000000,0.054000,-1.497266,-1.849533,806.268266,35.189151,43.482318,0.121975,-0.053930,0.043644
55.000000,0.055000,-1.497266,-1.849533,806.268266,35.189151,43.482318,0.121975,-0.053930,0.043644
56.000000,0.056000,-1.502874,-1.636413,805.537750,35.033452,43.480193,0.092286,-0.053977,0.043491
57.000000,0.057000,-1.497069,-1.849693,805.906250,35.119902,43.530287,0.121709,-0.054014,0.043578
58.000000,0.058000,-1.497266,-1.849533,806.268266,35.189151,43.482318,0.121975,-0.053930,0.043644
59.000000,0.059000,-1.497581,-1.850048,805.903913,35.119502,43.433284,0.122184,-0.053894,0.043578
60.000000,0.060000,-1.498134,-1.850506,806.632084,35.120301,43.531456,0.122176,-0.053967,0.043539
61.000000,0.061000,-1.497581,-1.850048,805.903913,35.119502,43.433284,0.122184,-0.053894,0.043578
62.000000,0.062000,-1.498449,-1.851021,806.267731,35.050651,43.482423,0.122386,-0.053931,0.043473
63.000000,0.063000,-1.498134,-1.850506,806.632084,35.120301,43.531456,0.122176,-0.053967,0.043539
64.000000,0.064000,-1.497581,-1.850048,805.903913,35.119502,43.433284,0.122184,-0.053894,0.043578
65.000000,0.065000,-1.498134,-1.850506,806.632084,35.120301,43.531456,0.122176,-0.053967,0.043539
66.000000,0.066000,-1.284854,-1.846210,806.636040,35.120640,43.547746,0.082228,-0.053987,0.043540
67.000000,0.067000,-1.498134,-1.850506,806.632084,35.120301,43.531456,0.122176,-0.053967,0.043539
68.000000,0.068000,-1.498449,-1.851021,806.267731,35.050651,43.482423,0.122386,-0.053931,0.043473
69.000000,0.069000,-1.498134,-1.850506,806.632084,35.120301,43.531456,0.122176,-0.053967,0.043539
70.000000,0.070000,-1.498134,-1.850506,806.632084,35.120301,43.531456,0.122176,-0.053967,0.043539
71.000000,0.071000,-1.498134,-1.850506,806.632084,35.120301,43.531456,0.122176,-0.053967,0.043539
72.000000,0.072000,-1.498134,-1.850506,806.632084,35.120301,43.531456,0.122176,-0.053967,0.043539
73.000000,0.073000,-1.497937,-1.850666,806.270068,35.051052,43.579425,0.121910,-0.054051,0.043473
74.000000,0.074000,-1.494330,-2.064509,806.267360,35.065968,43.579097,0.092394,-0.054050,0.043492
75.000000,0.075000,-1.494330,-2.064509,806.267360,35.065968,43.579097,0.092394,-0.054050,0.043492
76.000000,0.076000,-1.280781,-2.059803,806.264784,35.064913,43.594232,0.132525,-0.054069,0.043491
