Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,4.868920,2.838035,806.741742,43.083273,7.512974,-0.308866,-0.009313,0.053404
1.000000,0.001000,4.441420,2.827901,806.742164,42.945890,7.578657,-0.309113,-0.009394,0.053234
2.000000,0.002000,4.441420,2.827901,806.742164,42.945890,7.578657,-0.309113,-0.009394,0.053234
3.000000,0.003000,4.441638,2.828155,806.380291,43.015680,7.723820,-0.309638,-0.009578,0.053344
4.000000,0.004000,4.440769,2.827182,806.744109,42.946829,7.772959,-0.309436,-0.009635,0.053235
5.000000,0.005000,4.440967,2.827022,806.382093,42.877580,7.820928,-0.309703,-0.009699,0.053173
6.000000,0.006000,4.227687,2.822726,806.378137,42.877242,7.804638,-0.269755,-0.009679,0.053173
7.000000,0.007000,4.228199,2.823081,806.380474,42.877642,7.901641,-0.270230,-0.009799,0.053173
8.000000,0.008000,4.228199,2.823081,806.380474,42.877642,7.901641,-0.270230,-0.009799,0.053173
9.000000,0.009000,4.228199,2.823081,806.380474,42.877642,7.901641,-0.270230,-0.009799,0.053173
10.000000,0.010000,4.015431,2.819141,806.378855,42.877704,7.982354,-0.230758,-0.009899,0.053173
11.000000,0.011000,4.015628,2.818981,806.016839,42.808455,8.030323,-0.231024,-0.009963,0.053111
12.000000,0.012000,4.018367,2.604165,806.377949,42.754521,8.079133,-0.260338,-0.010019,0.053020
13.000000,0.013000,3.810993,2.386168,805.654251,42.771524,8.257037,-0.191550,-0.010249,0.053089
14.000000,0.014000,3.597042,2.380739,805.652098,42.633086,8.337855,-0.151666,-0.010349,0.052917
15.000000,0.015000,3.596924,2.380064,804.925729,42.494187,8.336791,-0.151724,-0.010357,0.052793
16.000000,0.016000,3.170607,2.371417,804.926685,42.495303,8.402369,-0.152381,-0.010439,0.052794
17.000000,0.017000,3.383288,2.375151,805.287928,42.425398,8.466642,-0.112050,-0.010514,0.052684
18.000000,0.018000,3.170805,2.371257,804.564669,42.426054,8.450338,-0.152647,-0.010503,0.052732
