Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,0.447289,-2.612314,809.718015,3.457910,-14.880201,-0.121125,0.018377,0.004271
1.000000,0.001000,0.233695,-2.617125,809.349706,3.387921,-14.945523,-0.080968,0.018466,0.004186
2.000000,0.002000,0.443368,-2.398986,809.356370,3.373344,-14.928906,-0.091400,0.018445,0.004168
3.000000,0.003000,0.443368,-2.398986,809.356370,3.373344,-14.928906,-0.091400,0.018445,0.004168
4.000000,0.004000,0.447289,-2.612314,809.718015,3.457910,-14.880201,-0.121125,0.018377,0.004271
5.000000,0.005000,0.443485,-2.398311,810.082739,3.512243,-14.927841,-0.091343,0.018428,0.004336
6.000000,0.006000,0.443683,-2.398471,809.720723,3.442994,-14.879872,-0.091610,0.018377,0.004252
7.000000,0.007000,0.446995,-2.612415,809.353805,3.527299,-14.832040,-0.121175,0.018326,0.004358
8.000000,0.008000,0.443388,-2.398572,809.356513,3.512383,-14.831712,-0.091659,0.018325,0.004340
9.000000,0.009000,0.230108,-2.402868,809.352558,3.512044,-14.848001,-0.051711,0.018346,0.004339
10.000000,0.010000,0.233715,-2.616711,809.349849,3.526960,-14.848329,-0.081226,0.018346,0.004358
11.000000,0.011000,0.230225,-2.402193,810.078927,3.650943,-14.846937,-0.051654,0.018328,0.004507
12.000000,0.012000,0.229911,-2.402708,809.714574,3.581293,-14.895970,-0.051444,0.018397,0.004423
13.000000,0.013000,0.443657,-2.398163,809.349982,3.510990,-14.832866,-0.011581,0.018327,0.004338
14.000000,0.014000,0.229911,-2.402708,809.714574,3.581293,-14.895970,-0.051444,0.018397,0.004423
15.000000,0.015000,0.017545,-2.405926,809.717684,3.720848,-14.911210,-0.091985,0.018415,0.004595
16.000000,0.016000,0.230225,-2.402193,810.078927,3.650943,-14.846937,-0.051654,0.018328,0.004507
17.000000,0.017000,0.230225,-2.402193,810.078927,3.650943,-14.846937,-0.051654,0.018328,0.004507
18.000000,0.018000,0.230225,-2.402193,810.078927,3.650943,-14.846937,-0.051654,0.018328,0.004507
19.000000,0.019000,0.230225,-2.402193,810.078927,3.650943,-14.846937,-0.051654,0.018328,0.004507
20.000000,0.020000,0.229616,-2.402810,809.350364,3.650683,-14.847809,-0.051494,0.018345,0.004511
21.000000,0.021000,0.226324,-2.188452,809.717425,3.705416,-14.798448,-0.022187,0.018276,0.004576
22.000000,0.022000,0.229931,-2.402295,809.714717,3.720332,-14.798776,-0.051703,0.018277,0.004595
23.000000,0.023000,0.230799,-2.401322,809.350899,3.789183,-14.847914,-0.051904,0.018345,0.004682
24.000000,0.024000,0.230799,-2.401322,809.350899,3.789183,-14.847914,-0.051904,0.018345,0.004682
25.000000,0.025000,0.229931,-2.402295,809.714717,3.720332,-14.798776,-0.051703,0.018277,0.004595
26.000000,0.026000,0.229636,-2.402396,809.350507,3.789722,-14.750615,-0.051752,0.018225,0.004682
27.000000,0.027000,0.225308,-2.187527,809.346751,3.772382,-14.848975,-0.081536,0.018347,0.004661
28.000000,0.028000,0.230799,-2.401322,809.350899,3.789183,-14.847914,-0.051904,0.018345,0.004682
29.000000,0.029000,0.230799,-2.401322,809.350899,3.789183,-14.847914,-0.051904,0.018345,0.004682
30.000000,0.030000,0.438857,-2.182821,809.344176,3.771327,-14.833841,-0.041406,0.018328,0.004660
31.000000,0.031000,0.444348,-2.396616,809.348323,3.788128,-14.832780,-0.011774,0.018327,0.004680
32.000000,0.032000,0.227192,-2.187479,809.353607,3.774267,-14.847586,-0.022389,0.018345,0.004663
33.000000,0.033000,0.227192,-2.187479,809.353607,3.774267,-14.847586,-0.022389,0.018345,0.004663
