Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,0.956401,-3.391920,807.542555,-27.759051,-54.459645,-0.139749,0.067439,-0.034375
1.000000,0.001000,0.951926,-3.179050,807.909082,-27.842818,-54.410178,-0.110032,0.067347,-0.034463
2.000000,0.002000,0.957417,-3.392845,807.913229,-27.826017,-54.409117,-0.080401,0.067345,-0.034442
3.000000,0.003000,0.957417,-3.392845,807.913229,-27.826017,-54.409117,-0.080401,0.067345,-0.034442
4.000000,0.004000,0.951926,-3.179050,807.909082,-27.842818,-54.410178,-0.110032,0.067347,-0.034463
5.000000,0.005000,0.957417,-3.392845,807.913229,-27.826017,-54.409117,-0.080401,0.067345,-0.034442
6.000000,0.006000,0.737508,-3.184728,808.275476,-27.910614,-54.376174,-0.149961,0.067274,-0.034531
7.000000,0.007000,0.742999,-3.398523,808.279623,-27.893813,-54.375113,-0.120329,0.067273,-0.034510
8.000000,0.008000,0.737508,-3.184728,808.275476,-27.910614,-54.376174,-0.149961,0.067274,-0.034531
9.000000,0.009000,0.733922,-2.970471,808.278327,-27.786491,-54.278652,-0.120704,0.067153,-0.034377
10.000000,0.010000,0.956569,-3.393404,808.277190,-27.755828,-54.262784,-0.080458,0.067134,-0.034339
11.000000,0.011000,0.737508,-3.184728,808.275476,-27.910614,-54.376174,-0.149961,0.067274,-0.034531
12.000000,0.012000,0.736640,-3.185701,808.639294,-27.979464,-54.327036,-0.149760,0.067183,-0.034601
13.000000,0.013000,0.736660,-3.185287,808.639437,-27.840425,-54.229842,-0.150019,0.067063,-0.034429
14.000000,0.014000,0.736955,-3.185185,809.003647,-27.909815,-54.278003,-0.149969,0.067092,-0.034499
15.000000,0.015000,0.743511,-3.398168,808.281960,-27.893412,-54.278111,-0.120805,0.067152,-0.034510
16.000000,0.016000,0.947202,-2.966175,808.282283,-27.786152,-54.262363,-0.160653,0.067133,-0.034377
17.000000,0.017000,0.737528,-3.184314,808.275619,-27.771575,-54.278980,-0.150220,0.067154,-0.034359
18.000000,0.018000,0.736660,-3.185287,808.639437,-27.840425,-54.229842,-0.150019,0.067063,-0.034429
19.000000,0.019000,0.736660,-3.185287,808.639437,-27.840425,-54.229842,-0.150019,0.067063,-0.034429
20.000000,0.020000,0.528602,-3.403788,808.646159,-27.822570,-54.243916,-0.160517,0.067080,-0.034406
21.000000,0.021000,0.523308,-3.190153,808.279996,-27.908620,-54.197008,-0.190415,0.067052,-0.034528
22.000000,0.022000,0.309734,-3.194550,807.911830,-27.839569,-54.165136,-0.150516,0.067043,-0.034459
23.000000,0.023000,0.518539,-2.977383,808.282313,-27.922997,-54.099380,-0.160748,0.066931,-0.034546
24.000000,0.024000,0.518853,-2.976868,808.646666,-27.853347,-54.050347,-0.160957,0.066840,-0.034444
25.000000,0.025000,0.523329,-3.189739,808.280139,-27.769581,-54.099814,-0.190674,0.066932,-0.034356
26.000000,0.026000,0.523034,-3.189840,807.915929,-27.700191,-54.051653,-0.190723,0.066903,-0.034286
27.000000,0.027000,0.519113,-2.976512,807.554285,-27.784757,-54.100358,-0.160998,0.066993,-0.034406
28.000000,0.028000,0.521851,-3.191328,807.915394,-27.838691,-54.051548,-0.190313,0.066902,-0.034457
29.000000,0.029000,0.100513,-3.414125,807.918161,-27.821174,-54.081911,-0.160862,0.066940,-0.034436
30.000000,0.030000,0.095022,-3.200330,807.914014,-27.837975,-54.082972,-0.190494,0.066941,-0.034457
