Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,-0.925960,-1.434977,805.574583,-9.994744,-32.234348,0.139884,0.040014,-0.012407
1.000000,0.001000,-1.139707,-1.439523,805.939175,-9.924441,-32.297452,0.100020,0.040074,-0.012314
2.000000,0.002000,-0.926158,-1.434817,805.936599,-9.925495,-32.282317,0.140150,0.040056,-0.012315
3.000000,0.003000,-0.927727,-1.434350,806.294097,-9.857731,-32.234673,0.080793,0.039979,-0.012226
4.000000,0.004000,-0.925843,-1.434302,806.300952,-9.855846,-32.233284,0.139941,0.039977,-0.012224
5.000000,0.005000,-0.921565,-1.647012,806.296442,-9.702830,-32.330719,0.110490,0.040098,-0.012034
6.000000,0.006000,-0.714091,-1.429436,805.931897,-9.788942,-32.364524,0.041119,0.040158,-0.012146
7.000000,0.007000,-1.144507,-1.224181,805.933369,-9.664103,-32.298426,0.070195,0.040076,-0.011991
8.000000,0.008000,-1.140605,-1.437923,806.294870,-9.718576,-32.346915,0.040728,0.040118,-0.012053
9.000000,0.009000,-0.713776,-1.428921,806.296250,-9.719292,-32.315491,0.040910,0.040079,-0.012054
10.000000,0.010000,-0.714268,-1.428863,806.294056,-9.580654,-32.315299,0.041127,0.040079,-0.011882
11.000000,0.011000,-0.926995,-1.432701,805.561930,-9.581792,-32.429760,0.081083,0.040257,-0.011895
12.000000,0.012000,-0.930576,-1.219167,805.935380,-9.664704,-32.476438,0.030570,0.040297,-0.011992
13.000000,0.013000,-0.930773,-1.219007,806.297396,-9.595455,-32.524408,0.030836,0.040338,-0.011901
14.000000,0.014000,-0.926949,-1.432596,805.932814,-9.510749,-32.379573,0.000796,0.040177,-0.011801
15.000000,0.015000,-1.140426,-1.436732,806.290874,-9.441838,-32.443831,0.041011,0.040238,-0.011710
16.000000,0.016000,-0.930459,-1.218491,806.661749,-9.525805,-32.475374,0.030627,0.040259,-0.011809
17.000000,0.017000,-0.929590,-1.217519,806.297931,-9.456955,-32.524513,0.030426,0.040338,-0.011729
18.000000,0.018000,-0.929590,-1.217519,806.297931,-9.456955,-32.524513,0.030426,0.040338,-0.011729
19.000000,0.019000,-0.925984,-1.431362,806.295222,-9.442039,-32.524841,0.000910,0.040339,-0.011710
