Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,3.889866,-57.545600,796.017866,-92.960654,-35.790767,-3.349936,0.044962,-0.116782
1.000000,0.001000,3.888555,-57.544777,795.282982,-92.824299,-35.793134,-3.409334,0.045007,-0.116719
2.000000,0.002000,3.885522,-57.330063,794.557662,-92.700975,-35.793783,-3.380069,0.045049,-0.116670
3.000000,0.003000,3.885978,-57.329867,793.103265,-92.701634,-35.795825,-3.380377,0.045134,-0.116885
4.000000,0.004000,4.094905,-57.110394,792.732725,-92.650639,-35.830890,-3.370080,0.045199,-0.116875
5.000000,0.005000,3.887887,-57.327774,791.642872,-92.565186,-35.799127,-3.301017,0.045221,-0.116928
6.000000,0.006000,3.883284,-57.112593,791.275050,-92.374097,-35.752132,-3.331109,0.045183,-0.116741
7.000000,0.007000,4.097433,-57.107324,790.915188,-92.304908,-35.784981,-3.371258,0.045245,-0.116706
8.000000,0.008000,4.098204,-57.106613,789.825144,-92.235917,-35.737990,-3.371775,0.045248,-0.116780
9.000000,0.009000,4.099341,-57.105231,789.454794,-92.168460,-35.788282,-3.291898,0.045333,-0.116750
10.000000,0.010000,4.099047,-57.105333,789.090584,-92.099070,-35.740122,-3.291948,0.045293,-0.116715
11.000000,0.011000,4.099915,-57.104360,788.726766,-92.030220,-35.789260,-3.292149,0.045376,-0.116682
12.000000,0.012000,4.096862,-56.890060,788.001304,-92.045935,-35.887104,-3.262625,0.045542,-0.116809
13.000000,0.013000,4.097750,-56.888674,787.637629,-91.838045,-35.839048,-3.263085,0.045502,-0.116599
14.000000,0.014000,4.093325,-56.674066,786.907648,-91.855245,-35.841278,-3.293185,0.045547,-0.116729
15.000000,0.015000,4.090389,-56.459091,786.908554,-91.732061,-35.938057,-3.263604,0.045670,-0.116573
16.000000,0.016000,4.094570,-56.672063,786.177818,-91.578905,-35.939363,-3.293370,0.045714,-0.116486
17.000000,0.017000,4.095438,-56.671090,785.814000,-91.510055,-35.988502,-3.293572,0.045798,-0.116453
18.000000,0.018000,4.087111,-56.242741,784.722517,-91.472781,-35.942243,-3.294205,0.045802,-0.116567
19.000000,0.019000,3.873831,-56.247037,784.718561,-91.473120,-35.958533,-3.254257,0.045823,-0.116568
20.000000,0.020000,3.874405,-56.246166,783.990533,-91.334880,-35.959510,-3.254508,0.045867,-0.116500
21.000000,0.021000,3.875273,-56.245194,783.626715,-91.266029,-36.008649,-3.254709,0.045951,-0.116466
22.000000,0.022000,3.661679,-56.250005,783.258407,-91.336018,-36.073971,-3.214551,0.046056,-0.116610
23.000000,0.023000,3.876116,-56.243913,782.892156,-91.129183,-36.010781,-3.174881,0.045997,-0.116401
24.000000,0.024000,3.662567,-56.248619,782.894732,-91.128128,-36.025916,-3.215011,0.046016,-0.116399
25.000000,0.025000,3.657944,-56.033851,782.526766,-91.076079,-36.076115,-3.244844,0.046102,-0.116387
26.000000,0.026000,3.657944,-56.033851,782.526766,-91.076079,-36.076115,-3.244844,0.046102,-0.116387
27.000000,0.027000,3.658813,-56.032879,782.162948,-91.007228,-36.125254,-3.245046,0.046186,-0.116353
28.000000,0.028000,3.659072,-56.032523,781.070567,-90.938638,-36.175265,-3.245087,0.046315,-0.116428
29.000000,0.029000,3.659584,-56.032168,781.072904,-90.938237,-36.078262,-3.245563,0.046191,-0.116427
30.000000,0.030000,3.654961,-55.817400,780.704939,-90.886188,-36.128462,-3.275396,0.046277,-0.116416
31.000000,0.031000,3.224328,-55.612399,781.068284,-90.831139,-36.207527,-3.245796,0.046356,-0.116291
32.000000,0.032000,3.227935,-55.826242,781.065575,-90.816223,-36.207855,-3.275311,0.046357,-0.116272
33.000000,0.033000,3.229118,-55.824754,781.066110,-90.677723,-36.207960,-3.275722,0.046357,-0.116095
34.000000,0.034000,3.234609,-56.038549,781.070257,-90.660922,-36.206899,-3.246090,0.046355,-0.116073
35.000000,0.035000,3.238018,-56.252232,781.429565,-90.576757,-36.255196,-3.275339,0.046396,-0.115912
36.000000,0.036000,3.673931,-56.669514,782.891796,-90.127526,-36.122562,-3.355264,0.046140,-0.115121
37.000000,0.037000,4.335226,-57.723861,786.528467,-89.632598,-36.165479,-3.423358,0.045981,-0.113960
38.000000,0.038000,5.645350,-59.193445,792.363480,-88.824318,-36.056809,-3.551299,0.045505,-0.112100
39.000000,0.039000,7.167393,-60.659647,798.564073,-87.945910,-35.882519,-3.718770,0.044934,-0.110130
40.000000,0.040000,7.813913,-61.075936,802.576241,-87.423472,-35.679368,-3.777674,0.044456,-0.108929
41.000000,0.041000,7.806511,-60.864101,805.858042,-87.087219,-35.622934,-3.906847,0.044205,-0.108068
42.000000,0.042000,8.435321,-60.423595,807.316286,-86.701345,-35.572181,-4.025849,0.044062,-0.107395
43.000000,0.043000,8.635699,-59.777658,807.683527,-86.678391,-35.604265,-4.036131,0.044082,-0.107317
44.000000,0.044000,7.746904,-58.083052,808.031032,-86.597473,-35.719273,-3.957026,0.044205,-0.107171
45.000000,0.045000,5.788995,-56.197734,808.021315,-86.596802,-35.669431,-3.750263,0.044144,-0.107171
46.000000,0.046000,4.274238,-55.159959,808.375142,-86.464025,-35.634372,-3.542191,0.044081,-0.106960
47.000000,0.047000,2.555031,-54.554528,808.732983,-86.298477,-35.613714,-3.374133,0.044036,-0.106708
48.000000,0.048000,0.841117,-54.162731,809.456987,-86.046878,-35.639965,-3.176177,0.044029,-0.106302
