Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,1.317548,-3.341313,811.187719,-9.322368,-42.383130,0.138632,0.052248,-0.011492
1.000000,0.001000,1.530534,-3.337118,810.827464,-9.252640,-42.318680,0.098634,0.052192,-0.011411
2.000000,0.002000,1.526927,-3.123275,810.830173,-9.267556,-42.318351,0.128149,0.052191,-0.011430
3.000000,0.003000,1.316386,-3.342387,811.187327,-9.321829,-42.285831,0.138783,0.052128,-0.011492
4.000000,0.004000,1.316386,-3.342387,811.187327,-9.321829,-42.285831,0.138783,0.052128,-0.011492
5.000000,0.005000,1.316386,-3.342387,811.187327,-9.321829,-42.285831,0.138783,0.052128,-0.011492
6.000000,0.006000,1.529863,-3.338251,810.829266,-9.390739,-42.221572,0.098569,0.052072,-0.011582
7.000000,0.007000,1.529863,-3.338251,810.829266,-9.390739,-42.221572,0.098569,0.052072,-0.011582
8.000000,0.008000,1.529863,-3.338251,810.829266,-9.390739,-42.221572,0.098569,0.052072,-0.011582
9.000000,0.009000,1.529863,-3.338251,810.829266,-9.390739,-42.221572,0.098569,0.052072,-0.011582
10.000000,0.010000,1.529568,-3.338352,810.465056,-9.321350,-42.173411,0.098519,0.052036,-0.011501
11.000000,0.011000,1.529568,-3.338352,810.465056,-9.321350,-42.173411,0.098519,0.052036,-0.011501
12.000000,0.012000,1.529015,-3.338809,811.193227,-9.320551,-42.075240,0.098511,0.051868,-0.011490
13.000000,0.013000,1.529015,-3.338809,811.193227,-9.320551,-42.075240,0.098511,0.051868,-0.011490
14.000000,0.014000,1.316029,-3.343004,811.553482,-9.390279,-42.139690,0.138509,0.051925,-0.011571
15.000000,0.015000,1.529212,-3.338969,810.831211,-9.389800,-42.027270,0.098245,0.051832,-0.011580
16.000000,0.016000,1.319073,-3.557358,811.193094,-9.304580,-42.090703,0.028866,0.051887,-0.011470
17.000000,0.017000,1.320957,-3.557310,811.199950,-9.302695,-42.089313,0.088013,0.051885,-0.011468
18.000000,0.018000,1.102383,-3.347971,810.829831,-9.389084,-42.058695,0.098063,0.051871,-0.011580
19.000000,0.019000,1.534506,-3.552604,811.197375,-9.303750,-42.074179,0.128143,0.051867,-0.011469
20.000000,0.020000,1.323401,-3.772227,811.196850,-9.287240,-41.992343,0.058649,0.051766,-0.011449
21.000000,0.021000,1.323401,-3.772227,811.196850,-9.287240,-41.992343,0.058649,0.051766,-0.011449
22.000000,0.022000,1.319991,-3.558544,810.837542,-9.371405,-41.944045,0.087899,0.051729,-0.011558
23.000000,0.023000,1.317812,-3.558694,810.466476,-9.303901,-41.897274,0.028702,0.051695,-0.011480
24.000000,0.024000,1.323598,-3.772387,810.834834,-9.356489,-41.944374,0.058383,0.051730,-0.011539
25.000000,0.025000,1.322435,-3.773461,810.834442,-9.355950,-41.847074,0.058535,0.051610,-0.011539
26.000000,0.026000,1.322750,-3.772946,811.198795,-9.286300,-41.798041,0.058326,0.051526,-0.011448
27.000000,0.027000,1.322750,-3.772946,811.198795,-9.286300,-41.798041,0.058326,0.051526,-0.011448
28.000000,0.028000,1.322435,-3.773461,810.834442,-9.355950,-41.847074,0.058535,0.051610,-0.011539
29.000000,0.029000,1.322455,-3.773047,810.834585,-9.216911,-41.749880,0.058276,0.051490,-0.011367
30.000000,0.030000,1.322455,-3.773047,810.834585,-9.216911,-41.749880,0.058276,0.051490,-0.011367
31.000000,0.031000,1.321587,-3.774020,811.198403,-9.285761,-41.700742,0.058478,0.051406,-0.011447
32.000000,0.032000,1.108525,-3.778062,810.832574,-9.216310,-41.571868,0.097901,0.051271,-0.011366
