Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,1.263646,-1.855044,809.404179,-3.921224,-38.335860,-0.296112,0.047363,-0.004845
1.000000,0.001000,1.269137,-2.068839,809.408327,-3.904423,-38.334799,-0.266480,0.047362,-0.004824
2.000000,0.002000,1.268269,-2.069811,809.772145,-3.973273,-38.285661,-0.266279,0.047280,-0.004907
3.000000,0.003000,1.267253,-2.068887,809.401471,-3.906308,-38.336188,-0.325628,0.047364,-0.004826
4.000000,0.004000,1.263646,-1.855044,809.404179,-3.921224,-38.335860,-0.296112,0.047363,-0.004845
5.000000,0.005000,1.269335,-2.068999,809.046311,-3.973672,-38.286830,-0.266747,0.047323,-0.004912
6.000000,0.006000,1.271876,-2.283654,809.769436,-3.958357,-38.285989,-0.295795,0.047280,-0.004888
7.000000,0.007000,1.262681,-1.856278,809.041771,-3.989934,-38.190592,-0.296227,0.047205,-0.004932
8.000000,0.008000,1.476255,-1.851880,809.409937,-4.058984,-38.222463,-0.336126,0.047223,-0.005015
9.000000,0.009000,1.268466,-2.069971,809.410129,-4.042522,-38.237691,-0.266546,0.047241,-0.004994
10.000000,0.010000,1.481721,-2.065367,809.043343,-3.974187,-38.174396,-0.226465,0.047185,-0.004912
11.000000,0.011000,1.481452,-2.065777,809.049874,-3.972794,-38.173241,-0.306543,0.047183,-0.004910
12.000000,0.012000,1.262681,-1.856278,809.041771,-3.989934,-38.190592,-0.296227,0.047205,-0.004932
13.000000,0.013000,1.268172,-2.070073,809.045919,-3.973133,-38.189531,-0.266595,0.047203,-0.004911
14.000000,0.014000,1.262681,-1.856278,809.041771,-3.989934,-38.190592,-0.296227,0.047205,-0.004932
15.000000,0.015000,1.481767,-2.065261,809.414227,-3.903144,-38.124208,-0.306753,0.047101,-0.004822
16.000000,0.016000,1.268192,-2.069659,809.046062,-3.834094,-38.092337,-0.266854,0.047083,-0.004739
17.000000,0.017000,1.268192,-2.069659,809.046062,-3.834094,-38.092337,-0.266854,0.047083,-0.004739
18.000000,0.018000,1.268192,-2.069659,809.046062,-3.834094,-38.092337,-0.266854,0.047083,-0.004739
19.000000,0.019000,1.261833,-1.856836,809.405732,-3.919745,-38.044259,-0.296284,0.047003,-0.004843
20.000000,0.020000,1.262701,-1.855864,809.041914,-3.850895,-38.093398,-0.296486,0.047085,-0.004760
21.000000,0.021000,1.262701,-1.855864,809.041914,-3.850895,-38.093398,-0.296486,0.047085,-0.004760
22.000000,0.022000,1.694706,-2.061172,808.683089,-3.904459,-38.109946,-0.266463,0.047126,-0.004828
23.000000,0.023000,1.481472,-2.065363,809.050017,-3.833755,-38.076047,-0.306802,0.047063,-0.004739
24.000000,0.024000,1.261833,-1.856836,809.405732,-3.919745,-38.044259,-0.296284,0.047003,-0.004843
25.000000,0.025000,1.263914,-1.856948,809.050572,-3.987109,-37.994901,-0.237403,0.046962,-0.004928
26.000000,0.026000,1.267227,-2.070893,808.683654,-3.902804,-37.947068,-0.266968,0.046924,-0.004826
27.000000,0.027000,1.267029,-2.070733,809.045670,-3.833555,-37.995038,-0.266702,0.046963,-0.004738
28.000000,0.028000,1.267541,-2.070378,809.048007,-3.833154,-37.898035,-0.267177,0.046843,-0.004738
29.000000,0.029000,1.477169,-1.852344,808.683787,-3.918774,-37.931605,-0.197322,0.046905,-0.004846
30.000000,0.030000,1.267227,-2.070893,808.683654,-3.902804,-37.947068,-0.266968,0.046924,-0.004826
31.000000,0.031000,1.261853,-1.856423,809.405875,-3.780706,-37.947065,-0.296543,0.046883,-0.004671
32.000000,0.032000,1.263640,-1.856636,808.686505,-3.778681,-37.849546,-0.237711,0.046804,-0.004673
33.000000,0.033000,1.263086,-1.857093,809.414676,-3.777882,-37.751374,-0.237719,0.046640,-0.004667
34.000000,0.034000,1.262772,-1.857609,809.050323,-3.847531,-37.800408,-0.237510,0.046722,-0.004756
35.000000,0.035000,0.836257,-1.866095,809.413296,-3.777166,-37.782799,-0.237901,0.046679,-0.004667
36.000000,0.036000,1.049223,-1.862314,809.052899,-3.846477,-37.815543,-0.277640,0.046741,-0.004754
37.000000,0.037000,1.049806,-1.861389,809.410721,-3.778220,-37.767664,-0.197771,0.046661,-0.004668
38.000000,0.038000,1.049512,-1.861491,809.046511,-3.708831,-37.719503,-0.197820,0.046622,-0.004584
39.000000,0.039000,1.049806,-1.861389,809.410721,-3.778220,-37.767664,-0.197771,0.046661,-0.004668
40.000000,0.040000,1.045037,-1.648620,809.413037,-3.792597,-37.670036,-0.168103,0.046540,-0.004686
41.000000,0.041000,0.831802,-1.652811,809.779966,-3.721893,-37.636138,-0.208443,0.046477,-0.004596
42.000000,0.042000,0.831488,-1.653326,809.415613,-3.791543,-37.685171,-0.208233,0.046558,-0.004684
43.000000,0.043000,0.627305,-2.085260,809.413096,-3.760164,-37.700728,-0.168169,0.046578,-0.004646
44.000000,0.044000,0.840606,-2.080550,809.417194,-3.620787,-37.587244,-0.208376,0.046437,-0.004473
45.000000,0.045000,0.830639,-1.653885,809.779574,-3.721354,-37.538839,-0.208291,0.046357,-0.004596
46.000000,0.046000,0.836130,-1.867680,809.783721,-3.704553,-37.537778,-0.178659,0.046355,-0.004575
47.000000,0.047000,0.836130,-1.867680,809.783721,-3.704553,-37.537778,-0.178659,0.046355,-0.004575
48.000000,0.048000,0.622028,-1.872843,810.514468,-3.702699,-37.454741,-0.218797,0.046211,-0.004568
49.000000,0.049000,0.622002,-1.872535,810.143726,-3.634703,-37.407735,-0.138768,0.046174,-0.004486
50.000000,0.050000,0.622200,-1.872695,809.781710,-3.703952,-37.359765,-0.139034,0.046136,-0.004574
51.000000,0.051000,0.622200,-1.872695,809.781710,-3.703952,-37.359765,-0.139034,0.046136,-0.004574
52.000000,0.052000,0.622002,-1.872535,810.143726,-3.634703,-37.407735,-0.138768,0.046174,-0.004486
53.000000,0.053000,0.618593,-1.658852,809.784419,-3.718868,-37.359437,-0.109519,0.046135,-0.004592
54.000000,0.054000,0.621331,-1.873667,810.145528,-3.772803,-37.310627,-0.138833,0.046054,-0.004657
55.000000,0.055000,0.407782,-1.878373,810.148104,-3.771748,-37.325762,-0.178963,0.046073,-0.004656
56.000000,0.056000,0.398487,-1.450575,810.508681,-3.734216,-37.374464,-0.178813,0.046112,-0.004607
57.000000,0.057000,0.621646,-1.873152,810.509881,-3.703153,-37.261594,-0.139042,0.045973,-0.004569
58.000000,0.058000,0.404490,-1.664015,810.515165,-3.717015,-37.276400,-0.149657,0.045991,-0.004586
59.000000,0.059000,0.403327,-1.665089,810.514773,-3.716476,-37.179101,-0.149505,0.045871,-0.004585
60.000000,0.060000,0.403130,-1.664929,810.876789,-3.647227,-37.227070,-0.149238,0.045910,-0.004498
61.000000,0.061000,0.189850,-1.669225,810.872834,-3.647566,-37.243360,-0.109290,0.045930,-0.004498
62.000000,0.062000,0.403642,-1.664573,810.879126,-3.646826,-37.130068,-0.149714,0.045790,-0.004497
