Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,-11.341187,-1.073210,813.121455,-8.247023,-36.436017,0.314846,0.044810,-0.010142
1.000000,0.001000,-11.340990,-1.073370,812.759439,-8.316272,-36.388048,0.314579,0.044771,-0.010232
2.000000,0.002000,-11.555031,-1.078017,812.759820,-8.176579,-36.402991,0.274666,0.044789,-0.010060
3.000000,0.003000,-11.555584,-1.078474,813.487991,-8.175780,-36.304819,0.274658,0.044629,-0.010050
4.000000,0.004000,-11.982825,-1.088253,812.396032,-8.244573,-36.289147,0.274370,0.044669,-0.010148
5.000000,0.005000,-11.982510,-1.087737,812.760385,-8.174923,-36.240114,0.274161,0.044589,-0.010058
6.000000,0.006000,-11.977117,-1.301794,812.038307,-8.157982,-36.142923,0.303477,0.044509,-0.010046
7.000000,0.007000,-11.977985,-1.302766,812.402125,-8.226832,-36.093784,0.303678,0.044428,-0.010127
8.000000,0.008000,-11.983476,-1.088971,812.397977,-8.243633,-36.094845,0.274046,0.044430,-0.010147
9.000000,0.009000,-11.986885,-0.875288,812.038670,-8.327799,-36.046548,0.303295,0.044390,-0.010255
10.000000,0.010000,-11.983279,-1.089131,812.035961,-8.312882,-36.046876,0.273780,0.044391,-0.010237
11.000000,0.011000,-12.197230,-1.094560,812.033808,-8.451321,-35.966058,0.313663,0.044291,-0.010408
12.000000,0.012000,-12.195640,-1.094613,811.676453,-8.380046,-35.916508,0.372761,0.044250,-0.010324
13.000000,0.013000,-12.195345,-1.094512,812.040663,-8.449436,-35.964669,0.372810,0.044289,-0.010405
14.000000,0.014000,-12.195640,-1.094613,811.676453,-8.380046,-35.916508,0.372761,0.044250,-0.010324
15.000000,0.015000,-12.195325,-1.094098,812.040806,-8.310397,-35.867475,0.372552,0.044170,-0.010234
16.000000,0.016000,-12.195422,-1.094360,811.314580,-8.310256,-35.771345,0.372236,0.044091,-0.010243
17.000000,0.017000,-12.201782,-0.881537,811.674251,-8.395908,-35.723268,0.342805,0.044012,-0.010344
18.000000,0.018000,-12.198175,-1.095380,811.671543,-8.380992,-35.723596,0.313290,0.044012,-0.010326
19.000000,0.019000,-12.197978,-1.095540,811.309527,-8.450241,-35.675627,0.313023,0.043973,-0.010416
20.000000,0.020000,-12.196093,-1.095492,811.316382,-8.448356,-35.674238,0.372171,0.043971,-0.010413
21.000000,0.021000,-12.196962,-1.096465,811.680200,-8.517206,-35.625099,0.372372,0.043891,-0.010493
22.000000,0.022000,-12.416002,-0.887375,811.678629,-8.532953,-35.641295,0.302610,0.043911,-0.010513
