Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,-8.323722,-2.381615,815.821373,5.043689,-15.073422,0.759463,0.018476,0.006182
1.000000,0.001000,-8.323722,-2.381615,815.821373,5.043689,-15.073422,0.759463,0.018476,0.006182
2.000000,0.002000,-8.110442,-2.377319,815.825329,5.044028,-15.057132,0.719515,0.018456,0.006183
3.000000,0.003000,-8.110442,-2.377319,815.825329,5.044028,-15.057132,0.719515,0.018456,0.006183
4.000000,0.004000,-8.109574,-2.376346,815.461511,5.112879,-15.106271,0.719314,0.018525,0.006270
5.000000,0.005000,-7.890534,-2.585435,815.463082,5.128625,-15.090075,0.789076,0.018505,0.006289
6.000000,0.006000,-7.890731,-2.585275,815.825098,5.197874,-15.138044,0.789342,0.018556,0.006371
7.000000,0.007000,-7.896025,-2.371640,815.458935,5.111824,-15.091136,0.759444,0.018506,0.006269
8.000000,0.008000,-7.469393,-2.362479,815.822331,5.180357,-15.107681,0.759892,0.018518,0.006350
9.000000,0.009000,-7.463608,-2.576172,816.190688,5.127769,-15.154781,0.789574,0.018568,0.006283
10.000000,0.010000,-7.468545,-2.361920,815.458370,5.110169,-15.254013,0.759950,0.018706,0.006267
11.000000,0.011000,-7.468545,-2.361920,815.458370,5.110169,-15.254013,0.759950,0.018706,0.006267
12.000000,0.012000,-7.468545,-2.361920,815.458370,5.110169,-15.254013,0.759950,0.018706,0.006267
13.000000,0.013000,-7.468545,-2.361920,815.458370,5.110169,-15.254013,0.759950,0.018706,0.006267
14.000000,0.014000,-7.041716,-2.352918,815.459750,5.109453,-15.222589,0.760131,0.018667,0.006266
15.000000,0.015000,-7.041163,-2.352461,814.731579,5.108654,-15.320761,0.760139,0.018805,0.006270
16.000000,0.016000,-7.040868,-2.352359,815.095789,5.039264,-15.368921,0.760189,0.018855,0.006182
17.000000,0.017000,-6.827614,-2.347755,814.729004,5.107599,-15.305626,0.800269,0.018786,0.006269
18.000000,0.018000,-6.614039,-2.343357,815.097169,5.038549,-15.337497,0.760370,0.018817,0.006182
19.000000,0.019000,-6.613485,-2.342900,814.368998,5.037749,-15.435669,0.760378,0.018954,0.006186
20.000000,0.020000,-6.617092,-2.129057,814.371707,5.022833,-15.435341,0.789894,0.018954,0.006168
21.000000,0.021000,-6.405697,-2.124809,814.368807,5.021287,-15.420441,0.690798,0.018935,0.006166
22.000000,0.022000,-6.192148,-2.120103,814.366231,5.020233,-15.405306,0.730928,0.018917,0.006165
23.000000,0.023000,-6.185788,-2.332926,814.006560,5.105884,-15.453383,0.760359,0.018984,0.006273
24.000000,0.024000,-6.191182,-2.118869,814.728639,5.088943,-15.550574,0.731043,0.019087,0.006246
25.000000,0.025000,-5.978314,-2.115350,813.642016,5.019772,-15.487188,0.690988,0.019034,0.006170
26.000000,0.026000,-5.972726,-2.328884,814.372389,5.036433,-15.582257,0.720936,0.019134,0.006184
27.000000,0.027000,-5.972528,-2.329044,814.010373,4.967184,-15.534288,0.720669,0.019084,0.006102
28.000000,0.028000,-5.977348,-2.114116,814.004424,5.088482,-15.632456,0.691102,0.019204,0.006251
29.000000,0.029000,-5.764186,-2.110495,813.282010,4.949923,-15.617231,0.651097,0.019203,0.006086
30.000000,0.030000,-5.550342,-2.105688,813.643645,4.879478,-15.650257,0.691276,0.019235,0.005997
31.000000,0.031000,-5.550342,-2.105688,813.643645,4.879478,-15.650257,0.691276,0.019235,0.005997
32.000000,0.032000,-5.549474,-2.104716,813.279827,4.948329,-15.699395,0.691075,0.019304,0.006084
33.000000,0.033000,-5.336803,-2.101036,812.555220,4.948408,-15.683979,0.651286,0.019302,0.006090
34.000000,0.034000,-5.122960,-2.096229,812.916854,4.877964,-15.717004,0.691466,0.019334,0.006001
35.000000,0.035000,-5.122960,-2.096229,812.916854,4.877964,-15.717004,0.691466,0.019334,0.006001
36.000000,0.036000,-5.122960,-2.096229,812.916854,4.877964,-15.717004,0.691466,0.019334,0.006001
37.000000,0.037000,-5.119353,-2.310072,812.914145,4.892880,-15.717333,0.661950,0.019335,0.006019
38.000000,0.038000,-5.119353,-2.310072,812.914145,4.892880,-15.717333,0.661950,0.019335,0.006019
39.000000,0.039000,-5.119667,-2.310587,812.549792,4.823230,-15.766366,0.662160,0.019404,0.005936
40.000000,0.040000,-4.692544,-2.301484,812.915382,4.753125,-15.783103,0.662391,0.019415,0.005847
41.000000,0.041000,-4.691676,-2.300511,812.551564,4.821975,-15.832241,0.662189,0.019485,0.005934
42.000000,0.042000,-4.691676,-2.300511,812.551564,4.821975,-15.832241,0.662189,0.019485,0.005934
43.000000,0.043000,-4.691793,-2.301187,811.825195,4.683077,-15.833305,0.662132,0.019503,0.005769
44.000000,0.044000,-4.691990,-2.301027,812.187211,4.752326,-15.881274,0.662399,0.019554,0.005851
45.000000,0.045000,-4.692564,-2.301898,812.915239,4.614086,-15.880297,0.662649,0.019535,0.005676
46.000000,0.046000,-4.687892,-2.514928,812.186697,4.628603,-15.881794,0.632666,0.019554,0.005699
47.000000,0.047000,-4.475103,-2.510574,812.188459,4.767581,-15.865313,0.592935,0.019534,0.005870
48.000000,0.048000,-4.475221,-2.511249,811.462090,4.628682,-15.866378,0.592877,0.019553,0.005704
49.000000,0.049000,-4.474926,-2.511147,811.826300,4.559293,-15.914538,0.592927,0.019603,0.005616
50.000000,0.050000,-4.474926,-2.511147,811.826300,4.559293,-15.914538,0.592927,0.019603,0.005616
51.000000,0.051000,-4.474612,-2.510632,812.190653,4.628942,-15.865505,0.592718,0.019534,0.005699
52.000000,0.052000,-4.469435,-2.724942,811.830447,4.576094,-15.913477,0.622559,0.019602,0.005637
53.000000,0.053000,-4.679108,-2.943081,811.823783,4.590671,-15.930095,0.632991,0.019623,0.005655
54.000000,0.054000,-4.465828,-2.938785,811.827738,4.591010,-15.913806,0.593043,0.019602,0.005655
55.000000,0.055000,-4.471025,-2.724889,812.187801,4.504819,-15.963027,0.563461,0.019654,0.005547
56.000000,0.056000,-4.466519,-2.940331,811.829397,4.313871,-15.913892,0.593237,0.019603,0.005314
57.000000,0.057000,-4.465651,-2.939359,811.465579,4.382722,-15.963031,0.593035,0.019672,0.005401
58.000000,0.058000,-4.465651,-2.939359,811.465579,4.382722,-15.963031,0.593035,0.019672,0.005401
59.000000,0.059000,-4.465651,-2.939359,811.465579,4.382722,-15.963031,0.593035,0.019672,0.005401
60.000000,0.060000,-4.466322,-2.940492,811.467381,4.244622,-15.865923,0.592970,0.019552,0.005231
61.000000,0.061000,-4.466637,-2.941007,811.103028,4.174973,-15.914956,0.593179,0.019621,0.005147
62.000000,0.062000,-4.463030,-3.154850,811.100320,4.189889,-15.915285,0.563664,0.019622,0.005166
63.000000,0.063000,-4.462735,-3.154748,811.464530,4.120499,-15.963445,0.563713,0.019672,0.005078
64.000000,0.064000,-4.456376,-3.367571,811.104859,4.206151,-16.011523,0.593144,0.019740,0.005186
65.000000,0.065000,-4.463030,-3.154850,811.100320,4.189889,-15.915285,0.563664,0.019622,0.005166
66.000000,0.066000,-4.462538,-3.154908,811.102514,4.051250,-15.915476,0.563447,0.019622,0.004995
67.000000,0.067000,-4.462853,-3.155423,810.738161,3.981601,-15.964510,0.563656,0.019691,0.004911
68.000000,0.068000,-4.454049,-3.583163,810.375389,4.082707,-15.915616,0.563723,0.019640,0.005038
69.000000,0.069000,-4.454049,-3.583163,810.375389,4.082707,-15.915616,0.563723,0.019640,0.005038
70.000000,0.070000,-4.667304,-3.587767,810.742175,4.014372,-15.978912,0.523642,0.019709,0.004951
71.000000,0.071000,-4.453557,-3.583221,810.377583,3.944069,-15.915808,0.563506,0.019640,0.004867
72.000000,0.072000,-4.453557,-3.583221,810.377583,3.944069,-15.915808,0.563506,0.019640,0.004867
73.000000,0.073000,-4.453872,-3.583737,810.013230,3.874419,-15.964841,0.563715,0.019709,0.004783
74.000000,0.074000,-4.667421,-3.588442,810.015806,3.875474,-15.979976,0.523585,0.019728,0.004784
75.000000,0.075000,-4.453578,-3.583635,810.377440,3.805030,-16.013002,0.563764,0.019760,0.004695
76.000000,0.076000,-4.449773,-3.797638,810.012716,3.750697,-15.965361,0.533982,0.019710,0.004630
77.000000,0.077000,-4.449773,-3.797638,810.012716,3.750697,-15.965361,0.533982,0.019710,0.004630
78.000000,0.078000,-4.449773,-3.797638,810.012716,3.750697,-15.965361,0.533982,0.019710,0.004630
79.000000,0.079000,-4.449773,-3.797638,810.012716,3.750697,-15.965361,0.533982,0.019710,0.004630
80.000000,0.080000,-4.450088,-3.798153,809.648363,3.681047,-16.014395,0.534192,0.019779,0.004546
81.000000,0.081000,-4.236539,-3.793448,809.645787,3.679993,-15.999260,0.574322,0.019761,0.004545
82.000000,0.082000,-4.449794,-3.798052,810.012573,3.611658,-16.062555,0.534241,0.019830,0.004459
83.000000,0.083000,-4.229688,-4.006329,809.288310,3.627006,-16.047529,0.603535,0.019829,0.004482
84.000000,0.084000,-4.236362,-3.794021,809.283628,3.471704,-16.048485,0.574314,0.019830,0.004290
85.000000,0.085000,-4.230871,-4.007816,809.287775,3.488506,-16.047424,0.603946,0.019829,0.004311
86.000000,0.086000,-4.443552,-4.011550,808.926533,3.558411,-16.111697,0.563614,0.019917,0.004399
87.000000,0.087000,-4.443552,-4.011550,808.926533,3.558411,-16.111697,0.563614,0.019917,0.004399
