Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,1.111464,-2.342736,808.791553,3.362720,-29.701294,-0.257630,0.036723,0.004158
1.000000,0.001000,1.109580,-2.342784,808.784697,3.360835,-29.702683,-0.316777,0.036725,0.004155
2.000000,0.002000,1.109580,-2.342784,808.784697,3.360835,-29.702683,-0.316777,0.036725,0.004155
3.000000,0.003000,1.328305,-2.552388,808.421916,3.306932,-29.735521,-0.246806,0.036782,0.004091
4.000000,0.004000,1.328620,-2.551873,808.786269,3.376582,-29.686487,-0.247015,0.036705,0.004175
5.000000,0.005000,1.323129,-2.338078,808.782122,3.359781,-29.687548,-0.276647,0.036706,0.004154
6.000000,0.006000,1.328503,-2.552549,808.059900,3.237683,-29.687552,-0.247072,0.036739,0.004007
7.000000,0.007000,1.114203,-2.557552,809.152663,3.308786,-29.652484,-0.286944,0.036646,0.004089
8.000000,0.008000,1.323326,-2.338238,808.420106,3.290532,-29.639579,-0.276913,0.036664,0.004070
9.000000,0.009000,1.115268,-2.556739,808.426829,3.308387,-29.653653,-0.287412,0.036681,0.004092
10.000000,0.010000,1.325211,-2.338190,808.426961,3.292417,-29.638190,-0.217766,0.036662,0.004073
11.000000,0.011000,1.328817,-2.552033,808.424253,3.307333,-29.638518,-0.247281,0.036662,0.004091
12.000000,0.012000,1.327949,-2.553006,808.788071,3.238482,-29.589380,-0.247080,0.036585,0.004004
13.000000,0.013000,1.108909,-2.343917,808.786499,3.222736,-29.605576,-0.316842,0.036605,0.003985
14.000000,0.014000,1.114400,-2.557712,808.790647,3.239537,-29.604515,-0.287210,0.036603,0.004005
15.000000,0.015000,1.108909,-2.343917,808.786499,3.222736,-29.605576,-0.316842,0.036605,0.003985
16.000000,0.016000,1.327752,-2.552846,809.150087,3.307731,-29.637349,-0.246814,0.036628,0.004088
17.000000,0.017000,1.323326,-2.338238,808.420106,3.290532,-29.639579,-0.276913,0.036664,0.004070
18.000000,0.018000,1.322143,-2.339726,808.419571,3.152031,-29.639474,-0.276503,0.036663,0.003899
