Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,2.385063,4.663828,806.714300,0.667017,-24.635392,2.288504,0.030538,0.000827
1.000000,0.001000,2.172454,4.660664,806.708542,0.804778,-24.748789,2.328518,0.030679,0.000998
2.000000,0.002000,2.171962,4.660723,806.706348,0.943417,-24.748597,2.328735,0.030679,0.001169
3.000000,0.003000,2.168929,4.875437,805.981029,1.066740,-24.749247,2.358000,0.030707,0.001324
4.000000,0.004000,2.382880,4.880865,805.983182,1.205179,-24.830065,2.318117,0.030807,0.001495
5.000000,0.005000,2.377191,5.094821,806.341051,1.257627,-24.879095,2.288751,0.030854,0.001560
6.000000,0.006000,2.377568,5.095852,805.975039,1.465116,-24.928042,2.288767,0.030929,0.001818
7.000000,0.007000,2.378436,5.096824,805.611221,1.533966,-24.977180,2.288566,0.031004,0.001904
8.000000,0.008000,2.377944,5.096883,805.609027,1.672605,-24.976988,2.288783,0.031004,0.002076
9.000000,0.009000,2.592164,5.102721,805.604649,1.809650,-25.058961,2.328978,0.031106,0.002246
10.000000,0.010000,2.369320,5.525813,805.967802,1.848236,-25.122798,2.288998,0.031171,0.002293
11.000000,0.011000,2.370305,5.527461,806.330353,2.055985,-25.170872,2.288854,0.031217,0.002550
12.000000,0.012000,2.583962,5.532788,805.968297,2.263813,-25.203529,2.248921,0.031271,0.002809
13.000000,0.013000,2.370484,5.528652,806.326357,2.332723,-25.267788,2.289136,0.031337,0.002893
14.000000,0.014000,2.796821,5.537712,806.325543,2.470646,-25.236172,2.289535,0.031298,0.003064
15.000000,0.015000,2.578604,5.747668,805.589269,2.452707,-25.351694,2.299859,0.031470,0.003045
16.000000,0.016000,2.578452,5.747934,806.322170,2.592999,-25.349475,2.219838,0.031438,0.003216
17.000000,0.017000,2.579321,5.748906,805.958352,2.661849,-25.398613,2.219637,0.031514,0.003303
18.000000,0.018000,2.792378,5.753671,805.953582,2.799433,-25.383287,2.259984,0.031495,0.003473
19.000000,0.019000,2.793049,5.754803,805.951780,2.937533,-25.480394,2.260049,0.031615,0.003645
20.000000,0.020000,3.001214,5.973925,805.585576,3.128559,-25.514113,2.190485,0.031672,0.003884
21.000000,0.021000,2.784058,6.183062,805.590861,3.114698,-25.528919,2.179870,0.031690,0.003866
22.000000,0.022000,2.778746,6.398048,805.582717,3.374635,-25.626896,2.150520,0.031812,0.004189
23.000000,0.023000,2.992295,6.402754,805.580142,3.373580,-25.611761,2.190650,0.031793,0.004188
24.000000,0.024000,2.993163,6.403727,805.216324,3.442431,-25.660900,2.190449,0.031868,0.004275
25.000000,0.025000,2.779991,6.400052,804.852887,3.650974,-25.724982,2.150335,0.031962,0.004536
26.000000,0.026000,2.779793,6.400212,805.214903,3.720223,-25.772951,2.150601,0.032008,0.004620
27.000000,0.027000,2.992876,6.404668,805.580875,3.789811,-25.804630,2.110919,0.032032,0.004704
28.000000,0.028000,2.987502,6.619138,806.303097,3.911909,-25.804627,2.081345,0.032004,0.004852
29.000000,0.029000,2.987879,6.620169,805.937085,4.119398,-25.853574,2.081360,0.032079,0.005111
30.000000,0.030000,2.987269,6.619553,805.208522,4.119137,-25.854447,2.081520,0.032109,0.005116
31.000000,0.031000,2.987940,6.620685,805.206720,4.257237,-25.951554,2.081585,0.032230,0.005287
32.000000,0.032000,2.993234,6.407050,805.572883,4.343287,-25.998462,2.111484,0.032273,0.005392
33.000000,0.033000,3.202206,6.626629,805.573226,4.465325,-25.983339,2.041493,0.032254,0.005543
34.000000,0.034000,3.202009,6.626789,805.935242,4.534574,-26.031308,2.041759,0.032300,0.005626
35.000000,0.035000,3.415960,6.632217,805.937396,4.673012,-26.112126,2.001876,0.032400,0.005798
36.000000,0.036000,3.415468,6.632276,805.935202,4.811651,-26.111934,2.002093,0.032400,0.005970
37.000000,0.037000,3.411140,6.847145,805.931447,4.794311,-26.210294,1.972309,0.032522,0.005949
38.000000,0.038000,3.415320,6.634173,805.200710,4.947467,-26.211600,1.942543,0.032553,0.006144
39.000000,0.039000,3.415123,6.634333,805.562726,5.016716,-26.259570,1.942810,0.032598,0.006228
40.000000,0.040000,3.415479,6.634950,805.196571,5.085166,-26.405710,1.943084,0.032794,0.006315
41.000000,0.041000,3.628779,6.639660,805.200670,5.224544,-26.292227,1.902877,0.032653,0.006488
42.000000,0.042000,3.629135,6.640277,804.834515,5.292993,-26.438368,1.903151,0.032849,0.006576
43.000000,0.043000,3.843284,6.645546,804.474653,5.362183,-26.471217,1.863002,0.032905,0.006665
44.000000,0.044000,3.837595,6.859501,804.832521,5.414631,-26.520247,1.833636,0.032951,0.006728
45.000000,0.045000,3.837301,6.859399,804.468311,5.484020,-26.472086,1.833587,0.032906,0.006817
46.000000,0.046000,4.054859,6.650985,804.467756,5.637375,-26.553233,1.764188,0.033007,0.007008
47.000000,0.047000,4.269078,6.656823,804.463379,5.774419,-26.635205,1.804383,0.033109,0.007178
48.000000,0.048000,4.263293,6.870517,804.095022,5.827008,-26.588105,1.774702,0.033066,0.007247
49.000000,0.049000,4.264517,6.872106,803.365049,5.964308,-26.783385,1.774775,0.033339,0.007424
50.000000,0.050000,4.481207,6.662719,803.728312,6.048812,-26.815393,1.705578,0.033364,0.007526
51.000000,0.051000,4.478468,6.877535,803.367202,6.102747,-26.864203,1.734892,0.033440,0.007596
52.000000,0.052000,4.689352,6.881428,803.361965,6.100800,-26.946305,1.636272,0.033542,0.007594
53.000000,0.053000,4.689926,6.882299,802.633937,6.239040,-26.947283,1.636021,0.033574,0.007773
54.000000,0.054000,4.690911,6.883946,802.996488,6.446789,-26.995357,1.635877,0.033618,0.008028
55.000000,0.055000,4.903582,6.887626,802.271881,6.446868,-26.979940,1.596088,0.033629,0.008036
56.000000,0.056000,4.904548,6.888860,802.634289,6.515578,-27.125209,1.596203,0.033795,0.008118
57.000000,0.057000,5.332048,6.898994,802.633867,6.652961,-27.190892,1.596450,0.033877,0.008289
58.000000,0.058000,5.548443,6.689506,802.632920,6.806855,-27.174739,1.527203,0.033857,0.008481
59.000000,0.059000,5.543505,6.903758,801.900602,6.789255,-27.273972,1.497579,0.034012,0.008466
60.000000,0.060000,5.543308,6.903918,802.262618,6.858504,-27.321941,1.497845,0.034056,0.008549
61.000000,0.061000,5.760865,6.695504,802.262063,7.011858,-27.403087,1.428447,0.034157,0.008740
62.000000,0.062000,5.761734,6.696476,801.898245,7.080709,-27.452226,1.428245,0.034234,0.008830
63.000000,0.063000,5.969879,6.915184,801.531898,7.132696,-27.583138,1.358940,0.034413,0.008899
64.000000,0.064000,6.183159,6.919480,801.535854,7.133035,-27.566849,1.318991,0.034393,0.008899
65.000000,0.065000,6.183713,6.919938,800.807683,7.132236,-27.665021,1.318999,0.034546,0.008906
66.000000,0.066000,6.401539,6.711933,800.800597,7.284197,-27.747321,1.329679,0.034649,0.009096
67.000000,0.067000,6.619589,6.503460,800.802236,7.298913,-27.828659,1.260063,0.034751,0.009115
68.000000,0.068000,6.826866,6.721196,800.799707,7.282050,-27.910434,1.190958,0.034853,0.009093
69.000000,0.069000,6.826668,6.721356,801.161723,7.351299,-27.958403,1.191225,0.034897,0.009176
70.000000,0.070000,7.040502,6.726109,800.437508,7.350839,-28.040285,1.151284,0.035031,0.009184
71.000000,0.071000,7.258060,6.517695,800.436953,7.504193,-28.121431,1.081886,0.035133,0.009375
72.000000,0.072000,7.258731,6.518827,800.435151,7.642293,-28.218539,1.081951,0.035254,0.009548
73.000000,0.073000,7.685362,6.527989,800.798547,7.710826,-28.235084,1.082399,0.035259,0.009629
74.000000,0.074000,7.902803,6.318899,800.071623,7.725282,-28.317294,1.012943,0.035393,0.009656
75.000000,0.075000,7.902585,6.318646,800.433496,7.655492,-28.462458,1.013468,0.035559,0.009564
76.000000,0.076000,7.897471,6.533472,800.063337,7.846179,-28.512465,0.983852,0.035638,0.009807
77.000000,0.077000,8.328872,6.329864,800.424416,7.929090,-28.626638,0.954633,0.035764,0.009906
78.000000,0.078000,8.329111,6.329806,799.331892,7.858641,-28.773843,0.954850,0.035997,0.009832
79.000000,0.079000,8.542488,6.334364,800.062074,7.858839,-28.853683,0.915217,0.036064,0.009823
80.000000,0.080000,8.546963,6.121493,799.695548,7.942606,-28.903150,0.885500,0.036143,0.009932
81.000000,0.081000,8.550570,5.907650,799.692839,7.957522,-28.903478,0.855985,0.036143,0.009951
82.000000,0.082000,8.764009,5.912724,799.692656,8.095560,-29.081299,0.816577,0.036366,0.010123
83.000000,0.083000,8.987504,5.490350,799.327558,8.056034,-29.211764,0.856881,0.036545,0.010079
84.000000,0.084000,9.201455,5.495779,799.329711,8.194472,-29.292582,0.816998,0.036646,0.010252
85.000000,0.085000,9.205418,5.282553,798.960848,8.277838,-29.439051,0.787756,0.036847,0.010361
86.000000,0.086000,9.422108,5.073166,799.324111,8.362342,-29.471059,0.718559,0.036870,0.010462
87.000000,0.087000,9.422956,5.073725,798.960150,8.292153,-29.617391,0.718616,0.037070,0.010379
88.000000,0.088000,9.850456,5.083859,798.959728,8.429537,-29.683075,0.718863,0.037152,0.010551
89.000000,0.089000,9.860976,4.657651,797.869178,8.529306,-29.829652,0.718786,0.037387,0.010690
