Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,-0.461323,-2.499464,809.386980,-12.373601,19.559893,0.120847,-0.024166,-0.015288
1.000000,0.001000,-0.457716,-2.713307,809.384272,-12.358685,19.559564,0.091331,-0.024166,-0.015269
2.000000,0.002000,-0.462695,-2.499156,809.382461,-12.375086,19.655506,0.061224,-0.024285,-0.015290
3.000000,0.003000,-0.466520,-2.285567,809.747043,-12.459792,19.510671,0.091265,-0.024095,-0.015387
4.000000,0.004000,-0.467191,-2.286700,809.748845,-12.597892,19.607778,0.091199,-0.024215,-0.015558
5.000000,0.005000,-0.461679,-2.500081,809.753135,-12.442051,19.706033,0.120573,-0.024336,-0.015365
6.000000,0.006000,-0.461679,-2.500081,809.753135,-12.442051,19.706033,0.120573,-0.024336,-0.015365
7.000000,0.007000,-0.461994,-2.500596,809.388782,-12.511701,19.657000,0.120782,-0.024286,-0.015458
8.000000,0.008000,-0.461994,-2.500596,809.388782,-12.511701,19.657000,0.120782,-0.024286,-0.015458
9.000000,0.009000,-0.461974,-2.500182,809.388925,-12.372662,19.754194,0.120523,-0.024406,-0.015286
10.000000,0.010000,-0.458744,-2.715056,809.752229,-12.565235,19.802813,0.090992,-0.024455,-0.015517
11.000000,0.011000,-0.463366,-2.500289,809.384263,-12.513185,19.752613,0.061159,-0.024404,-0.015460
12.000000,0.012000,-0.462350,-2.501213,809.754937,-12.580151,19.803141,0.120508,-0.024456,-0.015536
13.000000,0.013000,-0.458190,-2.714599,809.024058,-12.566034,19.704641,0.091000,-0.024356,-0.015532
14.000000,0.014000,-0.462350,-2.501213,809.754937,-12.580151,19.803141,0.120508,-0.024456,-0.015536
15.000000,0.015000,-0.675997,-2.506181,809.031287,-12.578956,19.884136,0.080062,-0.024578,-0.015548
16.000000,0.016000,-0.462960,-2.501830,809.026374,-12.580411,19.802268,0.120667,-0.024477,-0.015550
17.000000,0.017000,-0.458744,-2.715056,809.752229,-12.565235,19.802813,0.090992,-0.024455,-0.015517
18.000000,0.018000,-0.458861,-2.715732,809.025860,-12.704133,19.801748,0.090935,-0.024476,-0.015703
19.000000,0.019000,-0.675702,-2.506079,809.395497,-12.648345,19.835975,0.080111,-0.024507,-0.015627
