Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,13.677791,-35.133634,790.224797,-58.922977,-61.015965,-3.397607,0.077213,-0.074565
1.000000,0.001000,13.464634,-35.137977,791.317809,-58.991452,-61.175390,-3.437371,0.077308,-0.074548
2.000000,0.002000,13.674663,-34.919220,790.958318,-58.937579,-61.304914,-3.447530,0.077507,-0.074514
3.000000,0.003000,14.096393,-34.696061,792.045987,-59.024626,-61.418841,-3.476615,0.077545,-0.074522
4.000000,0.004000,14.319629,-35.118790,792.773270,-59.132743,-61.499295,-3.436269,0.077575,-0.074590
5.000000,0.005000,14.111144,-35.336163,793.137739,-59.186700,-61.660217,-3.506018,0.077742,-0.074623
6.000000,0.006000,14.325282,-35.331255,793.863583,-59.326534,-61.741404,-3.465789,0.077773,-0.074731
7.000000,0.007000,14.532854,-35.113417,794.225265,-59.412786,-61.871339,-3.534844,0.077901,-0.074806
8.000000,0.008000,14.320737,-35.116639,794.221701,-59.413664,-61.984927,-3.495047,0.078045,-0.074807
9.000000,0.009000,14.538507,-35.325882,795.315578,-59.606578,-62.113448,-3.564363,0.078099,-0.074947
10.000000,0.010000,14.543277,-35.538651,795.313262,-59.592201,-62.211076,-3.594031,0.078222,-0.074929
11.000000,0.011000,14.967444,-35.314986,795.679615,-59.678162,-62.421785,-3.563960,0.078451,-0.075003
12.000000,0.012000,15.394253,-35.306398,795.680852,-59.817917,-62.487555,-3.563520,0.078533,-0.075178
13.000000,0.013000,14.970260,-35.529954,796.766808,-59.871276,-62.566299,-3.592700,0.078525,-0.075143
14.000000,0.014000,14.543528,-35.538694,797.491654,-59.870700,-62.693853,-3.592566,0.078614,-0.075074
15.000000,0.015000,14.962422,-35.100980,797.491987,-59.903672,-62.760461,-3.592652,0.078697,-0.075115
16.000000,0.016000,15.393132,-35.306134,797.854726,-60.097901,-62.874719,-3.621678,0.078805,-0.075324
17.000000,0.017000,15.189627,-35.737657,798.221005,-60.135458,-63.131584,-3.661319,0.079090,-0.075337
18.000000,0.018000,15.190118,-35.737716,798.223199,-60.274097,-63.131776,-3.661536,0.079090,-0.075510
19.000000,0.019000,14.981411,-35.954621,798.578943,-60.190809,-63.293661,-3.650989,0.079258,-0.075372
20.000000,0.020000,15.400305,-35.516907,798.579276,-60.223781,-63.360269,-3.651075,0.079341,-0.075414
21.000000,0.021000,15.400382,-35.517060,799.305359,-60.362961,-63.553593,-3.650501,0.079511,-0.075519
22.000000,0.022000,15.624512,-35.939125,800.039565,-60.470223,-63.730191,-3.690386,0.079659,-0.075584
23.000000,0.023000,15.414641,-36.157104,800.394917,-60.386397,-63.794778,-3.679687,0.079704,-0.075446
24.000000,0.024000,15.410146,-35.944647,800.761301,-60.609202,-63.842505,-3.649711,0.079727,-0.075689
25.000000,0.025000,15.414718,-36.157256,801.121000,-60.525576,-63.988102,-3.679112,0.079873,-0.075551
26.000000,0.026000,15.406012,-35.729255,802.209997,-60.626823,-64.133125,-3.678863,0.079946,-0.075575
27.000000,0.027000,15.627913,-36.153207,803.669646,-60.733148,-64.211255,-3.718129,0.079898,-0.075570
28.000000,0.028000,15.628762,-36.152648,803.305685,-60.803336,-64.357588,-3.718071,0.080116,-0.075691
29.000000,0.029000,15.415873,-36.156581,804.392165,-60.873205,-64.518168,-3.677758,0.080207,-0.075676
30.000000,0.030000,15.420840,-36.369510,804.027833,-60.928077,-64.567826,-3.707692,0.080305,-0.075779
31.000000,0.031000,15.431081,-36.796488,804.029520,-61.035938,-64.761586,-3.707469,0.080546,-0.075913
32.000000,0.032000,15.856123,-36.787273,804.750271,-61.038679,-64.827681,-3.766119,0.080556,-0.075848
33.000000,0.033000,15.857778,-36.786257,804.752857,-61.177857,-64.925172,-3.766487,0.080677,-0.076021
34.000000,0.034000,15.645149,-36.789835,804.746956,-61.179135,-65.135763,-3.726215,0.080939,-0.076023
