Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,-0.781836,-2.172281,808.355879,-17.337398,-39.090799,-0.172930,0.048358,-0.021448
1.000000,0.001000,-0.776050,-2.385974,808.724236,-17.389987,-39.137898,-0.143249,0.048395,-0.021503
2.000000,0.002000,-0.776030,-2.385561,808.724379,-17.250947,-39.040704,-0.143507,0.048274,-0.021331
3.000000,0.003000,-0.780673,-2.171207,808.356271,-17.337937,-39.188098,-0.173082,0.048479,-0.021448
4.000000,0.004000,-0.776050,-2.385974,808.724236,-17.389987,-39.137898,-0.143249,0.048395,-0.021503
5.000000,0.005000,-0.776050,-2.385974,808.724236,-17.389987,-39.137898,-0.143249,0.048395,-0.021503
6.000000,0.006000,-0.988659,-2.389138,808.718478,-17.252226,-39.251295,-0.103235,0.048535,-0.021333
7.000000,0.007000,-0.988462,-2.389298,808.356462,-17.321475,-39.203326,-0.103502,0.048498,-0.021428
8.000000,0.008000,-0.775379,-2.384842,808.722434,-17.251887,-39.235006,-0.143184,0.048515,-0.021332
9.000000,0.009000,-0.994150,-2.175343,808.714331,-17.269027,-39.252356,-0.132867,0.048537,-0.021354
10.000000,0.010000,-0.994150,-2.175343,808.714331,-17.269027,-39.252356,-0.132867,0.048537,-0.021354
11.000000,0.011000,-0.775379,-2.384842,808.722434,-17.251887,-39.235006,-0.143184,0.048515,-0.021332
12.000000,0.012000,-0.988659,-2.389138,808.718478,-17.252226,-39.251295,-0.103235,0.048535,-0.021333
13.000000,0.013000,-0.775379,-2.384842,808.722434,-17.251887,-39.235006,-0.143184,0.048515,-0.021332
14.000000,0.014000,-0.994348,-2.175183,809.076347,-17.199778,-39.300325,-0.132601,0.048574,-0.021259
15.000000,0.015000,-0.994348,-2.175183,809.076347,-17.199778,-39.300325,-0.132601,0.048574,-0.021259
16.000000,0.016000,-0.994150,-2.175343,808.714331,-17.269027,-39.252356,-0.132867,0.048537,-0.021354
17.000000,0.017000,-0.780870,-2.171047,808.718287,-17.268688,-39.236067,-0.172816,0.048516,-0.021353
18.000000,0.018000,-0.993185,-2.174109,809.076739,-17.200317,-39.397624,-0.132753,0.048695,-0.021259
19.000000,0.019000,-0.993479,-2.174210,808.712529,-17.130928,-39.349464,-0.132802,0.048657,-0.021183
20.000000,0.020000,-0.987791,-2.388165,808.354660,-17.183375,-39.300434,-0.103437,0.048618,-0.021257
21.000000,0.021000,-0.987496,-2.388064,808.718870,-17.252765,-39.348594,-0.103387,0.048655,-0.021333
22.000000,0.022000,-0.987496,-2.388064,808.718870,-17.252765,-39.348594,-0.103387,0.048655,-0.021333
23.000000,0.023000,-0.987694,-2.387904,809.080886,-17.183516,-39.396563,-0.103121,0.048693,-0.021238
24.000000,0.024000,-0.987694,-2.387904,809.080886,-17.183516,-39.396563,-0.103121,0.048693,-0.021238
25.000000,0.025000,-0.993185,-2.174109,809.076739,-17.200317,-39.397624,-0.132753,0.048695,-0.021259
26.000000,0.026000,-0.986825,-2.386931,808.717068,-17.114665,-39.445702,-0.103322,0.048776,-0.021163
27.000000,0.027000,-0.775161,-2.382274,808.707637,-17.117605,-39.431956,-0.122339,0.048759,-0.021167
28.000000,0.028000,-0.773276,-2.382226,808.714493,-17.115720,-39.430567,-0.063192,0.048757,-0.021164
29.000000,0.029000,-0.773276,-2.382226,808.714493,-17.115720,-39.430567,-0.063192,0.048757,-0.021164
30.000000,0.030000,-0.987140,-2.387447,808.352715,-17.184315,-39.494735,-0.103113,0.048858,-0.021258
31.000000,0.031000,-0.992317,-2.173136,808.712921,-17.131467,-39.446763,-0.132954,0.048777,-0.021184
32.000000,0.032000,-0.992631,-2.173652,808.348568,-17.201116,-39.495796,-0.132745,0.048860,-0.021279
33.000000,0.033000,-0.991448,-2.172164,808.349103,-17.062616,-39.495901,-0.133155,0.048860,-0.021108
34.000000,0.034000,-0.992317,-2.173136,808.712921,-17.131467,-39.446763,-0.132954,0.048777,-0.021184
35.000000,0.035000,-0.992048,-2.172727,808.706390,-17.132860,-39.447917,-0.052876,0.048779,-0.021186
36.000000,0.036000,-0.773276,-2.382226,808.714493,-17.115720,-39.430567,-0.063192,0.048757,-0.021164
37.000000,0.037000,-0.772408,-2.381253,808.350675,-17.046870,-39.479705,-0.063393,0.048840,-0.021088
38.000000,0.038000,-0.778214,-2.167973,807.982175,-17.133320,-39.529800,-0.092816,0.048924,-0.021205
39.000000,0.039000,-0.776035,-2.167824,808.353240,-17.200825,-39.576571,-0.033619,0.048960,-0.021279
40.000000,0.040000,-0.772428,-2.381667,808.350532,-17.185909,-39.576899,-0.063135,0.048960,-0.021260
41.000000,0.041000,-0.776736,-2.166384,808.346920,-17.064210,-39.578065,-0.093177,0.048962,-0.021110
42.000000,0.042000,-0.777051,-2.166900,807.982567,-17.133859,-39.627099,-0.092968,0.049044,-0.021206
43.000000,0.043000,-0.777051,-2.166900,807.982567,-17.133859,-39.627099,-0.092968,0.049044,-0.021206
44.000000,0.044000,-0.776934,-2.166224,808.708936,-16.994961,-39.626034,-0.092911,0.048999,-0.021015
45.000000,0.045000,-0.776736,-2.166384,808.346920,-17.064210,-39.578065,-0.093177,0.048962,-0.021110
46.000000,0.046000,-0.777051,-2.166900,807.982567,-17.133859,-39.627099,-0.092968,0.049044,-0.021206
47.000000,0.047000,-0.771560,-2.380695,807.986714,-17.117058,-39.626038,-0.063336,0.049043,-0.021185
48.000000,0.048000,-0.777248,-2.166740,808.344583,-17.064610,-39.675068,-0.092701,0.049082,-0.021111
49.000000,0.049000,-0.776380,-2.165767,807.980765,-16.995760,-39.724206,-0.092903,0.049165,-0.021035
50.000000,0.050000,-0.770889,-2.379562,807.984912,-16.978959,-39.723145,-0.063271,0.049163,-0.021014
51.000000,0.051000,-0.562634,-2.161221,807.616173,-17.066063,-39.661102,-0.053039,0.049109,-0.021131
52.000000,0.052000,-0.562537,-2.160960,808.342399,-17.066204,-39.757232,-0.052723,0.049184,-0.021113
53.000000,0.053000,-0.562831,-2.161061,807.978189,-16.996814,-39.709071,-0.052773,0.049146,-0.021036
54.000000,0.054000,-0.561668,-2.159987,807.978581,-16.997353,-39.806370,-0.052925,0.049267,-0.021037
55.000000,0.055000,-0.561668,-2.159987,807.978581,-16.997353,-39.806370,-0.052925,0.049267,-0.021037
56.000000,0.056000,-0.561668,-2.159987,807.978581,-16.997353,-39.806370,-0.052925,0.049267,-0.021037
57.000000,0.057000,-0.561668,-2.159987,807.978581,-16.997353,-39.806370,-0.052925,0.049267,-0.021037
58.000000,0.058000,-0.561983,-2.160503,807.614228,-17.067003,-39.855404,-0.052715,0.049350,-0.021133
59.000000,0.059000,-0.561668,-2.159987,807.978581,-16.997353,-39.806370,-0.052925,0.049267,-0.021037
60.000000,0.060000,-0.561668,-2.159987,807.978581,-16.997353,-39.806370,-0.052925,0.049267,-0.021037
61.000000,0.061000,-0.347520,-2.154719,807.618719,-16.928164,-39.839219,-0.093074,0.049329,-0.020961
62.000000,0.062000,-0.560820,-2.159429,807.614620,-17.067542,-39.952703,-0.052867,0.049470,-0.021133
63.000000,0.063000,-0.347737,-2.154973,807.980592,-16.997954,-39.984383,-0.092549,0.049487,-0.021038
64.000000,0.064000,-0.134188,-2.150267,807.978016,-16.999009,-39.969248,-0.052419,0.049468,-0.021039
65.000000,0.065000,-0.347271,-2.154723,807.612044,-17.068597,-39.937568,-0.012737,0.049451,-0.021135
66.000000,0.066000,-0.346305,-2.153489,807.974452,-16.999887,-40.082836,-0.012623,0.049609,-0.021040
67.000000,0.067000,-0.346305,-2.153489,807.974452,-16.999887,-40.082836,-0.012623,0.049609,-0.021040
68.000000,0.068000,-0.346600,-2.153590,807.610242,-16.930497,-40.034676,-0.012672,0.049572,-0.020964
69.000000,0.069000,-0.133320,-2.149294,807.614198,-16.930158,-40.018386,-0.052620,0.049551,-0.020963
70.000000,0.070000,-0.133025,-2.149193,807.978408,-16.999548,-40.066547,-0.052571,0.049589,-0.021040
71.000000,0.071000,-0.133025,-2.149193,807.978408,-16.999548,-40.066547,-0.052571,0.049589,-0.021040
72.000000,0.072000,-0.132157,-2.148220,807.614590,-16.930697,-40.115685,-0.052772,0.049672,-0.020964
73.000000,0.073000,-0.132177,-2.148634,807.614447,-17.069736,-40.212879,-0.052514,0.049792,-0.021136
74.000000,0.074000,-0.132177,-2.148634,807.614447,-17.069736,-40.212879,-0.052514,0.049792,-0.021136
75.000000,0.075000,-0.132375,-2.148474,807.976463,-17.000487,-40.260848,-0.052247,0.049829,-0.021041
76.000000,0.076000,-0.131506,-2.147502,807.612645,-16.931637,-40.309987,-0.052448,0.049913,-0.020965
77.000000,0.077000,-0.131212,-2.147400,807.976855,-17.001026,-40.358148,-0.052399,0.049950,-0.021041
78.000000,0.078000,0.082337,-2.142694,807.974280,-17.002081,-40.343013,-0.012269,0.049931,-0.021043
79.000000,0.079000,0.082337,-2.142694,807.974280,-17.002081,-40.343013,-0.012269,0.049931,-0.021043
80.000000,0.080000,-0.130917,-2.147299,808.341065,-17.070416,-40.406308,-0.052350,0.049987,-0.021118
81.000000,0.081000,0.082140,-2.142534,808.336296,-16.932832,-40.390982,-0.012002,0.049968,-0.020948
82.000000,0.082000,-0.130246,-2.146166,808.339263,-16.932316,-40.503416,-0.052284,0.050107,-0.020947
83.000000,0.083000,-0.130246,-2.146166,808.339263,-16.932316,-40.503416,-0.052284,0.050107,-0.020947
84.000000,0.084000,0.083303,-2.141461,808.336688,-16.933371,-40.488281,-0.012154,0.050088,-0.020948
85.000000,0.085000,0.082988,-2.141976,807.972335,-17.003020,-40.537314,-0.011945,0.050172,-0.021044
86.000000,0.086000,0.296268,-2.137680,807.976290,-17.002682,-40.521025,-0.051893,0.050151,-0.021044
87.000000,0.087000,0.291072,-1.923783,808.336353,-17.088872,-40.570247,-0.081476,0.050190,-0.021141
88.000000,0.088000,0.505489,-1.918105,807.969959,-17.021076,-40.604250,-0.041547,0.050255,-0.021066
89.000000,0.089000,0.505489,-1.918105,807.969959,-17.021076,-40.604250,-0.041547,0.050255,-0.021066
90.000000,0.090000,0.301135,-2.350187,808.700200,-16.988445,-40.714782,-0.081245,0.050346,-0.021007
91.000000,0.091000,0.511077,-2.131639,808.700333,-17.004416,-40.699319,-0.011599,0.050327,-0.021027
92.000000,0.092000,0.291722,-1.923064,808.334408,-17.089812,-40.764548,-0.081152,0.050430,-0.021142
93.000000,0.093000,0.512240,-2.130565,808.700725,-17.004955,-40.796618,-0.011751,0.050447,-0.021028
94.000000,0.094000,0.512240,-2.130565,808.700725,-17.004955,-40.796618,-0.011751,0.050447,-0.021028
95.000000,0.095000,0.506434,-1.917285,808.332224,-17.091405,-40.846712,-0.041174,0.050532,-0.021144
96.000000,0.096000,0.511925,-2.131080,808.336372,-17.074604,-40.845651,-0.011542,0.050531,-0.021123
97.000000,0.097000,0.511925,-2.131080,808.336372,-17.074604,-40.845651,-0.011542,0.050531,-0.021123
98.000000,0.098000,0.506237,-1.917125,808.694240,-17.022156,-40.894681,-0.040908,0.050569,-0.021049
99.000000,0.099000,0.506237,-1.917125,808.694240,-17.022156,-40.894681,-0.040908,0.050569,-0.021049
100.000000,0.100000,0.506237,-1.917125,808.694240,-17.022156,-40.894681,-0.040908,0.050569,-0.021049
101.000000,0.101000,0.936967,-2.121865,809.057122,-17.077346,-40.911746,-0.070192,0.050567,-0.021108
102.000000,0.102000,0.729178,-2.339956,809.057313,-17.060883,-40.926975,-0.000612,0.050586,-0.021087
103.000000,0.103000,0.723982,-2.126059,809.417376,-17.147074,-40.976196,-0.030194,0.050624,-0.021184
104.000000,0.104000,0.723667,-2.126574,809.053023,-17.216724,-41.025230,-0.029985,0.050708,-0.021280
105.000000,0.105000,0.724338,-2.125442,809.051221,-17.078624,-41.122337,-0.029920,0.050828,-0.021109
106.000000,0.106000,0.937933,-2.120631,809.419530,-17.008636,-41.057014,-0.070077,0.050724,-0.021013
107.000000,0.107000,0.724384,-2.125336,809.422105,-17.007581,-41.072149,-0.110208,0.050743,-0.021012
108.000000,0.108000,0.938030,-2.120369,810.145756,-17.008776,-41.153144,-0.069762,0.050797,-0.020995
109.000000,0.109000,0.934306,-1.907201,809.422095,-17.162591,-41.153880,-0.040303,0.050844,-0.021204
110.000000,0.110000,0.937715,-2.120884,809.781403,-17.078426,-41.202177,-0.069552,0.050881,-0.021090
111.000000,0.111000,0.937715,-2.120884,809.781403,-17.078426,-41.202177,-0.069552,0.050881,-0.021090
112.000000,0.112000,0.938584,-2.119912,809.417585,-17.009575,-41.251316,-0.069754,0.050964,-0.021015
113.000000,0.113000,0.938584,-2.119912,809.417585,-17.009575,-41.251316,-0.069754,0.050964,-0.021015
114.000000,0.114000,0.938878,-2.119810,809.781795,-17.078965,-41.299477,-0.069704,0.051001,-0.021091
115.000000,0.115000,0.938878,-2.119810,809.781795,-17.078965,-41.299477,-0.069704,0.051001,-0.021091
116.000000,0.116000,1.152427,-2.115105,809.779219,-17.080019,-41.284342,-0.029574,0.050982,-0.021092
117.000000,0.117000,1.152722,-2.115003,810.143429,-17.149409,-41.332502,-0.029525,0.051019,-0.021168
118.000000,0.118000,1.152524,-2.114843,810.505445,-17.080160,-41.380471,-0.029258,0.051055,-0.021073
119.000000,0.119000,0.939844,-2.118576,810.144203,-17.010255,-41.444745,-0.069590,0.051157,-0.020997
120.000000,0.120000,1.153393,-2.113871,810.141627,-17.011309,-41.429610,-0.029460,0.051139,-0.020998
121.000000,0.121000,1.153078,-2.114386,809.777274,-17.080959,-41.478643,-0.029251,0.051222,-0.021093
122.000000,0.122000,1.153687,-2.113769,810.505837,-17.080699,-41.477771,-0.029410,0.051175,-0.021074
123.000000,0.123000,1.153687,-2.113769,810.505837,-17.080699,-41.477771,-0.029410,0.051175,-0.021074
124.000000,0.124000,1.153687,-2.113769,810.505837,-17.080699,-41.477771,-0.029410,0.051175,-0.021074
125.000000,0.125000,1.158162,-2.326640,810.139311,-16.996932,-41.527237,-0.059127,0.051259,-0.020980
126.000000,0.126000,1.371442,-2.322344,810.143266,-16.996593,-41.510948,-0.099075,0.051239,-0.020980
127.000000,0.127000,1.371128,-2.322859,809.778913,-17.066243,-41.559981,-0.098866,0.051323,-0.021075
128.000000,0.128000,1.367836,-2.108501,810.145975,-17.011510,-41.510620,-0.069560,0.051238,-0.020998
129.000000,0.129000,1.158142,-2.327054,810.139168,-17.135971,-41.624431,-0.058869,0.051379,-0.021152
130.000000,0.130000,1.371225,-2.322597,810.505139,-17.066384,-41.656111,-0.098550,0.051395,-0.021056
131.000000,0.131000,1.371225,-2.322597,810.505139,-17.066384,-41.656111,-0.098550,0.051395,-0.021056
132.000000,0.132000,1.157945,-2.326894,810.501184,-17.066722,-41.672400,-0.058602,0.051416,-0.021057
133.000000,0.133000,1.371225,-2.322597,810.505139,-17.066384,-41.656111,-0.098550,0.051395,-0.021056
134.000000,0.134000,1.371225,-2.322597,810.505139,-17.066384,-41.656111,-0.098550,0.051395,-0.021056
135.000000,0.135000,1.157945,-2.326894,810.501184,-17.066722,-41.672400,-0.058602,0.051416,-0.021057
136.000000,0.136000,1.372362,-2.321215,810.134790,-16.998926,-41.706404,-0.018673,0.051481,-0.020983
137.000000,0.137000,1.158813,-2.325921,810.137366,-16.997872,-41.721539,-0.058803,0.051499,-0.020981
138.000000,0.138000,1.155206,-2.112078,810.140074,-17.012788,-41.721211,-0.029288,0.051499,-0.021000
139.000000,0.139000,1.155206,-2.112078,810.140074,-17.012788,-41.721211,-0.029288,0.051499,-0.021000
140.000000,0.140000,1.368486,-2.107782,810.144030,-17.012449,-41.704921,-0.069236,0.051478,-0.020999
141.000000,0.141000,1.368755,-2.107372,810.137499,-17.013843,-41.706076,0.010842,0.051480,-0.021001
142.000000,0.142000,1.159108,-2.325820,810.501576,-17.067261,-41.769700,-0.058754,0.051536,-0.021058
143.000000,0.143000,1.159976,-2.324847,810.137758,-16.998411,-41.818838,-0.058955,0.051619,-0.020982
144.000000,0.144000,1.159108,-2.325820,810.501576,-17.067261,-41.769700,-0.058754,0.051536,-0.021058
145.000000,0.145000,1.586608,-2.315685,810.501154,-16.929878,-41.835383,-0.058507,0.051617,-0.020888
146.000000,0.146000,1.159484,-2.324789,810.135564,-16.859772,-41.818646,-0.058738,0.051619,-0.020811
147.000000,0.147000,1.372764,-2.320493,810.139519,-16.859434,-41.802357,-0.098687,0.051599,-0.020811
148.000000,0.148000,1.373328,-2.319981,810.497198,-16.930216,-41.851672,-0.018559,0.051637,-0.020889
149.000000,0.149000,1.159976,-2.324847,810.137758,-16.998411,-41.818838,-0.058955,0.051619,-0.020982
150.000000,0.150000,1.159976,-2.324847,810.137758,-16.998411,-41.818838,-0.058955,0.051619,-0.020982
151.000000,0.151000,1.159976,-2.324847,810.137758,-16.998411,-41.818838,-0.058955,0.051619,-0.020982
152.000000,0.152000,1.156172,-2.110844,810.502482,-16.944078,-41.866479,-0.029173,0.051655,-0.020906
153.000000,0.153000,1.156369,-2.111004,810.140466,-17.013327,-41.818510,-0.029440,0.051619,-0.021000
154.000000,0.154000,1.374393,-2.319169,809.771364,-16.930615,-41.852841,-0.019027,0.051685,-0.020908
155.000000,0.155000,1.160844,-2.323875,809.773940,-16.929560,-41.867976,-0.059157,0.051703,-0.020907
156.000000,0.156000,1.157238,-2.110032,809.776648,-16.944476,-41.867648,-0.029641,0.051703,-0.020925
157.000000,0.157000,1.160647,-2.323715,810.135956,-16.860311,-41.915945,-0.058890,0.051739,-0.020812
158.000000,0.158000,1.160647,-2.323715,810.135956,-16.860311,-41.915945,-0.058890,0.051739,-0.020812
159.000000,0.159000,1.160844,-2.323875,809.773940,-16.929560,-41.867976,-0.059157,0.051703,-0.020907
160.000000,0.160000,1.157238,-2.110032,809.776648,-16.944476,-41.867648,-0.029641,0.051703,-0.020925
161.000000,0.161000,1.160844,-2.323875,809.773940,-16.929560,-41.867976,-0.059157,0.051703,-0.020907
162.000000,0.162000,1.375262,-2.318196,809.407546,-16.861764,-41.901980,-0.019228,0.051769,-0.020832
163.000000,0.163000,1.161713,-2.322902,809.410122,-16.860710,-41.917115,-0.059358,0.051787,-0.020831
164.000000,0.164000,1.158106,-2.109059,809.412830,-16.875626,-41.916786,-0.029842,0.051787,-0.020849
165.000000,0.165000,1.158303,-2.109219,809.050814,-16.944875,-41.868817,-0.030109,0.051751,-0.020944
166.000000,0.166000,1.158106,-2.109059,809.412830,-16.875626,-41.916786,-0.029842,0.051787,-0.020849
167.000000,0.167000,1.157791,-2.109574,809.048477,-16.945276,-41.965820,-0.029633,0.051871,-0.020945
168.000000,0.168000,1.157791,-2.109574,809.048477,-16.945276,-41.965820,-0.029633,0.051871,-0.020945
169.000000,0.169000,1.157791,-2.109574,809.048477,-16.945276,-41.965820,-0.029633,0.051871,-0.020945
170.000000,0.170000,1.157791,-2.109574,809.048477,-16.945276,-41.965820,-0.029633,0.051871,-0.020945
171.000000,0.171000,1.158106,-2.109059,809.412830,-16.875626,-41.916786,-0.029842,0.051787,-0.020849
172.000000,0.172000,1.371655,-2.104353,809.410255,-16.876681,-41.901652,0.010288,0.051768,-0.020851
173.000000,0.173000,1.365849,-1.891074,809.041754,-16.963131,-41.951746,-0.019135,0.051854,-0.020967
174.000000,0.174000,1.372209,-2.103896,808.682084,-16.877480,-41.999823,0.010296,0.051936,-0.020870
175.000000,0.175000,1.162779,-2.322090,808.684288,-16.861108,-41.918284,-0.059826,0.051835,-0.020850
