Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,2.417612,-2.789642,808.793593,-28.184226,-39.012946,-0.396977,0.048236,-0.034847
1.000000,0.001000,2.418165,-2.789185,808.065422,-28.185025,-39.111118,-0.396969,0.048401,-0.034880
2.000000,0.002000,2.417297,-2.790157,808.429240,-28.253876,-39.061979,-0.396768,0.048318,-0.034949
3.000000,0.003000,2.418165,-2.789185,808.065422,-28.185025,-39.111118,-0.396969,0.048401,-0.034880
4.000000,0.004000,2.411609,-2.576202,808.787109,-28.201428,-39.111009,-0.426134,0.048358,-0.034869
5.000000,0.005000,2.417394,-2.789896,809.155466,-28.254016,-39.158109,-0.396452,0.048394,-0.034918
6.000000,0.006000,2.625452,-2.571395,809.148743,-28.271872,-39.144035,-0.385954,0.048377,-0.034940
7.000000,0.007000,2.411903,-2.576101,809.151319,-28.270817,-39.159170,-0.426084,0.048395,-0.034939
8.000000,0.008000,2.412198,-2.575999,809.515529,-28.340207,-39.207331,-0.426035,0.048433,-0.035009
9.000000,0.009000,2.417394,-2.789896,809.155466,-28.254016,-39.158109,-0.396452,0.048394,-0.034918
10.000000,0.010000,2.630674,-2.785600,809.159422,-28.253677,-39.141820,-0.436401,0.048373,-0.034917
11.000000,0.011000,2.418360,-2.788662,809.517874,-28.185306,-39.303377,-0.396338,0.048552,-0.034817
12.000000,0.012000,2.412771,-2.575128,808.787501,-28.201967,-39.208309,-0.426286,0.048478,-0.034869
13.000000,0.013000,2.625747,-2.571294,809.512953,-28.341261,-39.192196,-0.385905,0.048415,-0.035010
14.000000,0.014000,2.413066,-2.575027,809.151711,-28.271356,-39.256469,-0.426236,0.048516,-0.034940
15.000000,0.015000,2.412869,-2.574867,809.513727,-28.202107,-39.304438,-0.425970,0.048553,-0.034838
16.000000,0.016000,2.418360,-2.788662,809.517874,-28.185306,-39.303377,-0.396338,0.048552,-0.034817
17.000000,0.017000,2.418557,-2.788822,809.155858,-28.254555,-39.255408,-0.396604,0.048514,-0.034919
18.000000,0.018000,2.418557,-2.788822,809.155858,-28.254555,-39.255408,-0.396604,0.048514,-0.034919
19.000000,0.019000,2.418557,-2.788822,809.155858,-28.254555,-39.255408,-0.396604,0.048514,-0.034919
20.000000,0.020000,2.412869,-2.574867,809.513727,-28.202107,-39.304438,-0.425970,0.048553,-0.034838
21.000000,0.021000,2.412295,-2.575738,810.241755,-28.340347,-39.303461,-0.425719,0.048508,-0.034978
22.000000,0.022000,2.417786,-2.789533,810.245902,-28.323546,-39.302400,-0.396087,0.048507,-0.034957
23.000000,0.023000,2.421296,-3.003637,809.516967,-28.308490,-39.206598,-0.425919,0.048432,-0.034970
24.000000,0.024000,2.412869,-2.574867,809.513727,-28.202107,-39.304438,-0.425970,0.048553,-0.034838
25.000000,0.025000,2.417491,-2.789634,809.881692,-28.254157,-39.254239,-0.396136,0.048469,-0.034887
26.000000,0.026000,2.417491,-2.789634,809.881692,-28.254157,-39.254239,-0.396136,0.048469,-0.034887
27.000000,0.027000,2.417491,-2.789634,809.881692,-28.254157,-39.254239,-0.396136,0.048469,-0.034887
28.000000,0.028000,2.417491,-2.789634,809.881692,-28.254157,-39.254239,-0.396136,0.048469,-0.034887
29.000000,0.029000,1.991531,-2.797664,809.516494,-28.184590,-39.334802,-0.396520,0.048590,-0.034817
30.000000,0.030000,2.202327,-2.793978,809.870880,-28.256381,-39.271918,-0.415336,0.048492,-0.034890
31.000000,0.031000,2.205080,-2.792958,809.513918,-28.185645,-39.319667,-0.356389,0.048572,-0.034818
32.000000,0.032000,1.991531,-2.797664,809.516494,-28.184590,-39.334802,-0.396520,0.048590,-0.034817
33.000000,0.033000,2.204211,-2.793930,809.877736,-28.254496,-39.270528,-0.356188,0.048489,-0.034887
34.000000,0.034000,1.990662,-2.798636,809.880312,-28.253441,-39.285663,-0.396318,0.048508,-0.034886
35.000000,0.035000,2.204409,-2.794090,809.515720,-28.323745,-39.222559,-0.356455,0.048452,-0.034989
36.000000,0.036000,2.208016,-3.007933,809.513012,-28.308828,-39.222888,-0.385970,0.048452,-0.034970
37.000000,0.037000,2.204409,-2.794090,809.515720,-28.323745,-39.222559,-0.356455,0.048452,-0.034989
38.000000,0.038000,1.990565,-2.798898,809.154086,-28.253300,-39.189533,-0.396634,0.048433,-0.034917
39.000000,0.039000,1.990368,-2.798738,809.516102,-28.184051,-39.237503,-0.396368,0.048470,-0.034816
40.000000,0.040000,1.990662,-2.798636,809.880312,-28.253441,-39.285663,-0.396318,0.048508,-0.034886
41.000000,0.041000,1.991434,-2.797925,808.790268,-28.184450,-39.238672,-0.396835,0.048515,-0.034848
42.000000,0.042000,1.991434,-2.797925,808.790268,-28.184450,-39.238672,-0.396835,0.048515,-0.034848
43.000000,0.043000,1.990368,-2.798738,809.516102,-28.184051,-39.237503,-0.396368,0.048470,-0.034816
44.000000,0.044000,2.204114,-2.794192,809.151510,-28.254355,-39.174399,-0.356504,0.048414,-0.034918
45.000000,0.045000,1.991434,-2.797925,808.790268,-28.184450,-39.238672,-0.396835,0.048515,-0.034848
46.000000,0.046000,1.990565,-2.798898,809.154086,-28.253300,-39.189533,-0.396634,0.048433,-0.034917
47.000000,0.047000,1.782776,-3.016989,809.154277,-28.236838,-39.204762,-0.327054,0.048452,-0.034897
48.000000,0.048000,1.777285,-2.803194,809.150130,-28.253639,-39.205823,-0.356686,0.048453,-0.034918
49.000000,0.049000,1.990565,-2.798898,809.154086,-28.253300,-39.189533,-0.396634,0.048433,-0.034917
50.000000,0.050000,1.776991,-2.803295,808.785920,-28.184250,-39.157662,-0.356735,0.048415,-0.034848
51.000000,0.051000,1.990585,-2.798484,809.154229,-28.114261,-39.092339,-0.396893,0.048313,-0.034745
52.000000,0.052000,1.777305,-2.802780,809.150273,-28.114600,-39.108629,-0.356944,0.048333,-0.034746
53.000000,0.053000,1.776991,-2.803295,808.785920,-28.184250,-39.157662,-0.356735,0.048415,-0.034848
54.000000,0.054000,1.776991,-2.803295,808.785920,-28.184250,-39.157662,-0.356735,0.048415,-0.034848
55.000000,0.055000,1.776991,-2.803295,808.785920,-28.184250,-39.157662,-0.356735,0.048415,-0.034848
56.000000,0.056000,1.776991,-2.803295,808.785920,-28.184250,-39.157662,-0.356735,0.048415,-0.034848
57.000000,0.057000,1.777188,-2.803455,808.423904,-28.253499,-39.109693,-0.357002,0.048378,-0.034949
58.000000,0.058000,1.563954,-2.807646,808.790833,-28.182795,-39.075795,-0.397341,0.048314,-0.034846
59.000000,0.059000,1.777503,-2.802940,808.788257,-28.183849,-39.060660,-0.357211,0.048295,-0.034847
60.000000,0.060000,1.350674,-2.811942,808.786877,-28.183133,-39.092084,-0.357393,0.048334,-0.034846
61.000000,0.061000,1.563954,-2.807646,808.790833,-28.182795,-39.075795,-0.397341,0.048314,-0.034846
62.000000,0.062000,1.563639,-2.808161,808.426480,-28.252444,-39.124828,-0.397132,0.048396,-0.034947
63.000000,0.063000,1.350359,-2.812457,808.422524,-28.252783,-39.141117,-0.357183,0.048417,-0.034948
64.000000,0.064000,1.563659,-2.807747,808.426623,-28.113405,-39.027634,-0.397390,0.048276,-0.034775
65.000000,0.065000,1.563613,-2.807853,808.055739,-28.184448,-39.077822,-0.317103,0.048360,-0.034879
66.000000,0.066000,1.350674,-2.811942,808.786877,-28.183133,-39.092084,-0.357393,0.048334,-0.034846
67.000000,0.067000,1.349805,-2.812914,809.150695,-28.251984,-39.042946,-0.357191,0.048252,-0.034916
68.000000,0.068000,1.559453,-2.594467,808.786618,-28.198565,-38.979322,-0.287595,0.048195,-0.034865
69.000000,0.069000,1.350379,-2.812043,808.422667,-28.113744,-39.043923,-0.357442,0.048296,-0.034776
70.000000,0.070000,1.350379,-2.812043,808.422667,-28.113744,-39.043923,-0.357442,0.048296,-0.034776
71.000000,0.071000,1.350379,-2.812043,808.422667,-28.113744,-39.043923,-0.357442,0.048296,-0.034776
72.000000,0.072000,1.355870,-3.025838,808.426814,-28.096943,-39.042862,-0.327810,0.048295,-0.034755
73.000000,0.073000,1.345904,-2.599173,808.789194,-28.197510,-38.994457,-0.327725,0.048213,-0.034864
74.000000,0.074000,1.345904,-2.599173,808.789194,-28.197510,-38.994457,-0.327725,0.048213,-0.034864
75.000000,0.075000,1.346772,-2.598200,808.425376,-28.128660,-39.043595,-0.327926,0.048296,-0.034794
76.000000,0.076000,1.345904,-2.599173,808.789194,-28.197510,-38.994457,-0.327725,0.048213,-0.034864
77.000000,0.077000,1.345904,-2.599173,808.789194,-28.197510,-38.994457,-0.327725,0.048213,-0.034864
78.000000,0.078000,1.345904,-2.599173,808.789194,-28.197510,-38.994457,-0.327725,0.048213,-0.034864
79.000000,0.079000,1.345904,-2.599173,808.789194,-28.197510,-38.994457,-0.327725,0.048213,-0.034864
80.000000,0.080000,1.345904,-2.599173,808.789194,-28.197510,-38.994457,-0.327725,0.048213,-0.034864
