Seq,Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.000000,0.000000,-0.300922,-0.811660,809.044581,-15.471244,21.078994,0.221506,-0.026054,-0.019123
1.000000,0.001000,-0.295431,-1.025455,809.048728,-15.454442,21.080055,0.251138,-0.026055,-0.019102
2.000000,0.002000,-0.295431,-1.025455,809.048728,-15.454442,21.080055,0.251138,-0.026055,-0.019102
3.000000,0.003000,-0.295431,-1.025455,809.048728,-15.454442,21.080055,0.251138,-0.026055,-0.019102
4.000000,0.004000,-0.295746,-1.025970,808.684375,-15.524092,21.031022,0.251347,-0.026006,-0.019197
5.000000,0.005000,-0.295431,-1.025455,809.048728,-15.454442,21.080055,0.251138,-0.026055,-0.019102
6.000000,0.006000,-0.292139,-1.239813,808.681666,-15.509176,21.030693,0.221832,-0.026006,-0.019178
7.000000,0.007000,-0.286450,-1.453768,808.323798,-15.561624,21.079724,0.251197,-0.026078,-0.019252
8.000000,0.008000,-0.287222,-1.454479,809.413842,-15.630615,21.032732,0.251714,-0.025985,-0.019311
9.000000,0.009000,-0.287024,-1.454639,809.051826,-15.699864,21.080701,0.251448,-0.026056,-0.019405
10.000000,0.010000,-0.286353,-1.453507,809.050024,-15.561764,20.983594,0.251513,-0.025936,-0.019235
11.000000,0.011000,-0.286353,-1.453507,809.050024,-15.561764,20.983594,0.251513,-0.025936,-0.019235
12.000000,0.012000,-0.287222,-1.454479,809.413842,-15.630615,21.032732,0.251714,-0.025985,-0.019311
13.000000,0.013000,-0.287222,-1.454479,809.413842,-15.630615,21.032732,0.251714,-0.025985,-0.019311
14.000000,0.014000,-0.287044,-1.455053,809.051683,-15.838903,20.983507,0.251706,-0.025936,-0.019577
15.000000,0.015000,-0.287913,-1.456026,809.415501,-15.907753,21.032646,0.251908,-0.025985,-0.019653
16.000000,0.016000,-0.288110,-1.455865,809.777517,-15.838504,20.984676,0.252174,-0.025914,-0.019559
17.000000,0.017000,-0.288110,-1.455865,809.777517,-15.838504,20.984676,0.252174,-0.025914,-0.019559
18.000000,0.018000,-0.287913,-1.456026,809.415501,-15.907753,21.032646,0.251908,-0.025985,-0.019653
19.000000,0.019000,-0.284306,-1.669869,809.412792,-15.892837,21.032317,0.222392,-0.025985,-0.019635
20.000000,0.020000,-0.492364,-1.888369,809.419515,-15.874982,21.018243,0.211894,-0.025967,-0.019613
21.000000,0.021000,-0.279012,-1.883504,809.778955,-15.806787,20.985409,0.252290,-0.025915,-0.019520
22.000000,0.022000,-0.279032,-1.883917,809.778812,-15.945826,20.888215,0.252549,-0.025795,-0.019692
23.000000,0.023000,-0.278520,-1.883562,809.781149,-15.945426,20.985218,0.252073,-0.025915,-0.019691
24.000000,0.024000,-0.279703,-1.885050,809.780614,-16.083926,20.985323,0.252484,-0.025915,-0.019862
25.000000,0.025000,-0.279703,-1.885050,809.780614,-16.083926,20.985323,0.252484,-0.025915,-0.019862
26.000000,0.026000,-0.279703,-1.885050,809.780614,-16.083926,20.985323,0.252484,-0.025915,-0.019862
27.000000,0.027000,-0.279703,-1.885050,809.780614,-16.083926,20.985323,0.252484,-0.025915,-0.019862
28.000000,0.028000,-0.279703,-1.885050,809.780614,-16.083926,20.985323,0.252484,-0.025915,-0.019862
29.000000,0.029000,-0.279723,-1.885463,809.780471,-16.222965,20.888128,0.252742,-0.025795,-0.020034
